+-----+--------------------------------------------+-------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|  ID | Registry name                              | Biome name                    | temp. | temp cat | rain |  snow | oceanic | BiomeType  | BiomeDictionary.Type                                              | Valid for                  | waterColorMultiplier    | grassColorMultiplier    | foliageColorMultiplier  |
+-----+--------------------------------------------+-------------------------------+-------+----------+------+-------+---------+------------+-------------------------------------------------------------------+----------------------------+-------------------------+-------------------------+-------------------------+
|   0 | minecraft:ocean                            | Ocean                         |  0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|   1 | minecraft:plains                           | Plains                        |  0.80 | MEDIUM   | 0.40 | false | false   | COOL, WARM | PLAINS                                                            | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|   2 | minecraft:desert                           | Desert                        |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, SANDY                                                   | stronghold, village        | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|   3 | minecraft:extreme_hills                    | Extreme Hills                 |  0.20 | MEDIUM   | 0.30 | false | false   | COOL, WARM | HILLS, MOUNTAIN                                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|   4 | minecraft:forest                           | Forest                        |  0.70 | MEDIUM   | 0.80 | false | false   | COOL, WARM | FOREST                                                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|   5 | minecraft:taiga                            | Taiga                         |  0.25 | MEDIUM   | 0.80 | false | false   | COOL       | COLD, CONIFEROUS, FOREST                                          | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
|   6 | minecraft:swampland                        | Swampland                     |  0.80 | MEDIUM   | 0.90 | false | false   | WARM       | SWAMP, WET                                                        |                            | 0x00E0FFAE (  14745518) | 0xFF6AC44E (  -9780146) | 0xFF45B421 ( -12209119) |
|   7 | minecraft:river                            | River                         |  0.50 | MEDIUM   | 0.50 | false | false   |            | RIVER, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|   8 | minecraft:hell                             | Hell                          |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HOT, NETHER                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|   9 | minecraft:sky                              | The End                       |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, END                                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  10 | minecraft:frozen_ocean                     | FrozenOcean                   |  0.00 | OCEAN    | 0.50 |  true | true    |            | COLD, OCEAN, SNOWY, WATER                                         |                            | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  11 | minecraft:frozen_river                     | FrozenRiver                   |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, RIVER, SNOWY, WATER                                         |                            | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  12 | minecraft:ice_flats                        | Ice Plains                    |  0.00 | COLD     | 0.50 |  true | false   | ICY        | COLD, SNOWY, WASTELAND                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  13 | minecraft:ice_mountains                    | Ice Mountains                 |  0.00 | COLD     | 0.50 |  true | false   |            | COLD, MOUNTAIN, SNOWY                                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  14 | minecraft:mushroom_island                  | MushroomIsland                |  0.90 | MEDIUM   | 1.00 | false | false   |            | MUSHROOM, RARE                                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF55C93F ( -11155137) | 0xFF2BBB0F ( -13911281) |
|  15 | minecraft:mushroom_island_shore            | MushroomIslandShore           |  0.90 | MEDIUM   | 1.00 | false | false   |            | BEACH, MUSHROOM, RARE                                             |                            | 0x00FFFFFF (  16777215) | 0xFF55C93F ( -11155137) | 0xFF2BBB0F ( -13911281) |
|  16 | minecraft:beaches                          | Beach                         |  0.80 | MEDIUM   | 0.40 | false | false   |            | BEACH                                                             |                            | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  17 | minecraft:desert_hills                     | DesertHills                   |  2.00 | WARM     | 0.00 | false | false   |            | DRY, HILLS, HOT, SANDY                                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  18 | minecraft:forest_hills                     | ForestHills                   |  0.70 | MEDIUM   | 0.80 | false | false   |            | FOREST, HILLS                                                     | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  19 | minecraft:taiga_hills                      | TaigaHills                    |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, HILLS                                   | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
|  20 | minecraft:smaller_extreme_hills            | Extreme Hills Edge            |  0.20 | MEDIUM   | 0.30 | false | false   |            | MOUNTAIN                                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  21 | minecraft:jungle                           | Jungle                        |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, JUNGLE, WET                                           | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
|  22 | minecraft:jungle_hills                     | JungleHills                   |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HILLS, HOT, JUNGLE, WET                                    | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
|  23 | minecraft:jungle_edge                      | JungleEdge                    |  0.95 | MEDIUM   | 0.80 | false | false   |            | FOREST, HOT, JUNGLE, RARE, WET                                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF64C73F ( -10172609) | 0xFF3EB80F ( -12666865) |
|  24 | minecraft:deep_ocean                       | Deep Ocean                    |  0.50 | OCEAN    | 0.50 | false | true    |            | OCEAN, WATER                                                      |                            | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  25 | minecraft:stone_beach                      | Stone Beach                   |  0.20 | MEDIUM   | 0.30 | false | false   |            | BEACH                                                             | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  26 | minecraft:cold_beach                       | Cold Beach                    |  0.05 | COLD     | 0.30 |  true | false   |            | BEACH, COLD, SNOWY                                                |                            | 0x00FFFFFF (  16777215) | 0xFF83B593 (  -8145517) | 0xFF64A278 ( -10182024) |
|  27 | minecraft:birch_forest                     | Birch Forest                  |  0.60 | MEDIUM   | 0.60 | false | false   | WARM       | BIRCH_TREES, FOREST, THEMED_TREES                                 | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
|  28 | minecraft:birch_forest_hills               | Birch Forest Hills            |  0.60 | MEDIUM   | 0.60 | false | false   |            | BIRCH_TREES, FOREST, HILLS, THEMED_TREES                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
|  29 | minecraft:roofed_forest                    | Roofed Forest                 |  0.70 | MEDIUM   | 0.80 | false | false   | WARM       | BIRCH_TREES, DENSE, FOREST, SPOOKY, THEMED_TREES                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF79C05A (  -8798118) | 0xFF59AE30 ( -10899920) |
|  30 | minecraft:taiga_cold                       | Cold Taiga                    | -0.50 | COLD     | 0.40 |  true | false   | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  31 | minecraft:taiga_cold_hills                 | Cold Taiga Hills              | -0.50 | COLD     | 0.40 |  true | false   |            | COLD, CONIFEROUS, FOREST, HILLS, SNOWY                            | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  32 | minecraft:redwood_taiga                    | Mega Taiga                    |  0.30 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, MEGA_TAIGA_TREES, THEMED_TREES          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF86B87F (  -7948161) | 0xFF68A55F (  -9919137) |
|  33 | minecraft:redwood_taiga_hills              | Mega Taiga Hills              |  0.30 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, FOREST, HILLS, MEGA_TAIGA_TREES, THEMED_TREES   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF86B87F (  -7948161) | 0xFF68A55F (  -9919137) |
|  34 | minecraft:extreme_hills_with_trees         | Extreme Hills+                |  0.20 | MEDIUM   | 0.30 | false | false   |            | FOREST, MOUNTAIN, SPARSE                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8AB689 (  -7686519) | 0xFF6DA36B (  -9591957) |
|  35 | minecraft:savanna                          | Savanna                       |  1.20 | WARM     | 0.00 | false | false   |            | HOT, PLAINS, SAVANNA, SPARSE                                      | stronghold, village        | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  36 | minecraft:savanna_rock                     | Savanna Plateau               |  1.00 | WARM     | 0.00 | false | false   |            | HOT, PLAINS, RARE, SAVANNA, SPARSE                                | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  37 | minecraft:mesa                             | Mesa                          |  2.00 | WARM     | 0.00 | false | false   |            | DRY, MESA, SANDY                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  38 | minecraft:mesa_rock                        | Mesa Plateau F                |  2.00 | WARM     | 0.00 | false | false   |            | DRY, MESA, SANDY, SPARSE                                          | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  39 | minecraft:mesa_clear_rock                  | Mesa Plateau                  |  2.00 | WARM     | 0.00 | false | false   |            | DRY, MESA, SANDY                                                  | stronghold                 | 0x00FFFFFF (  16777215) | 0xFFBFB755 (  -4212907) | 0xFFAEA42A (  -5331926) |
|  40 | biomesoplenty:gravel_beach                 | Gravel Beach                  |  0.60 | MEDIUM   | 0.50 | false | false   |            | BEACH                                                             |                            | 0x00FFFFFF (  16777215) | 0xFF8DBB68 (  -7488664) | 0xFF72A941 (  -9262783) |
|  41 | biomesoplenty:white_beach                  | White Beach                   |  1.00 | WARM     | 0.95 | false | false   |            | BEACH                                                             |                            | 0x00FFFFFF (  16777215) | 0xFF4CCC35 ( -11744203) | 0xFF21BE02 ( -14565886) |
|  42 | biomesoplenty:origin_beach                 | Origin Beach                  |  0.60 | MEDIUM   | 0.60 | false | false   |            | BEACH, RARE                                                       |                            | 0x00FFFFFF (  16777215) | 0xFF88BB66 (  -7816346) | 0xFF6BA940 (  -9721536) |
|  43 | biomesoplenty:alps                         | Alps                          | -0.25 | COLD     | 0.30 |  true | false   |            | COLD, DRY, MOUNTAIN, SNOWY                                        | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF80B497 (  -8342377) | 0xFF60A17B ( -10444421) |
|  44 | biomesoplenty:bamboo_forest                | Bamboo Forest                 |  0.90 | MEDIUM   | 0.85 | false | false   |            | DENSE, FOREST, JUNGLE, WET                                        | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF64C642 ( -10172862) | 0xFF3DB714 ( -12732652) |
|  45 | biomesoplenty:bayou                        | Bayou                         |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, HOT, SWAMP, WET                                            |                            | 0x00FFD932 (  16767282) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
|  46 | biomesoplenty:bog                          | Bog                           |  0.50 | MEDIUM   | 0.90 | false | false   |            | COLD, FOREST, SWAMP, WET                                          | spawn                      | 0x00BCFF96 (  12386198) | 0xFF7FBC6D (  -8405907) | 0xFF60AA48 ( -10442168) |
|  47 | biomesoplenty:boreal_forest                | Boreal Forest                 |  0.30 | MEDIUM   | 0.60 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST, HILLS                            | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF8AB780 (  -7686272) | 0xFF6CA460 (  -9657248) |
|  48 | biomesoplenty:brushland                    | Brushland                     |  1.50 | WARM     | 0.10 | false | false   |            | DRY, HOT, SAVANNA, SPARSE                                         | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFFB2B952 (  -5064366) | 0xFF9FA726 (  -6314202) |
|  49 | biomesoplenty:chaparral                    | Chaparral                     |  0.80 | MEDIUM   | 0.40 | false | false   |            | DRY, PLAINS                                                       | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF91BD59 (  -7226023) | 0xFF77AB2F (  -8934609) |
|  50 | biomesoplenty:cherry_blossom_grove         | Cherry Blossom Grove          |  0.55 | MEDIUM   | 0.80 | false | false   |            | DENSE, FOREST, LUSH, MAGICAL, WET                                 |                            | 0x00FFFFFF (  16777215) | 0xFF81BC69 (  -8274839) | 0xFF61AA43 ( -10376637) |
|  51 | biomesoplenty:cold_desert                  | Cold Desert                   |  0.20 | MEDIUM   | 0.00 | false | false   |            | COLD, DRY, SNOWY                                                  |                            | 0x00FFFFFF (  16777215) | 0xFF8DB58A (  -7490166) | 0xFF70A26C (  -9395604) |
|  52 | biomesoplenty:coniferous_forest            | Coniferous Forest             |  0.45 | MEDIUM   | 0.50 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST                                   | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF8DB974 (  -7489164) | 0xFF71A652 (  -9329070) |
|  53 | biomesoplenty:crag                         | Crag                          |  0.50 | MEDIUM   | 0.50 | false | false   |            | COLD, DRY, HILLS, MAGICAL, MOUNTAIN, WASTELAND                    | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB971 (  -7423631) | 0xFF71A74D (  -9328819) |
|  54 | biomesoplenty:dead_forest                  | Dead Forest                   |  0.30 | MEDIUM   | 0.30 | false | false   |            | COLD, DEAD, DRY, FOREST, SPARSE                                   | stronghold                 | 0x00FFFFFF (  16777215) | 0xFF8EB681 (  -7424383) | 0xFF72A361 (  -9264287) |
|  55 | biomesoplenty:dead_swamp                   | Dead Swamp                    |  0.60 | MEDIUM   | 0.90 | false | false   |            | COLD, DEAD, SPARSE, SPOOKY, SWAMP, WET                            |                            | 0x00A2AD51 (  10661201) | 0xFF7ABE62 (  -8733086) | 0xFF59AD3B ( -10900165) |
|  56 | biomesoplenty:eucalyptus_forest            | Eucalyptus Forest             |  0.95 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, JUNGLE, LUSH, WET                                  | spawn                      | 0x00FFFFFF (  16777215) | 0xFF59C93C ( -10892996) | 0xFF30BB0B ( -13583605) |
|  57 | biomesoplenty:fen                          | Fen                           |  0.40 | MEDIUM   | 0.40 | false | false   |            | COLD, DEAD, DENSE, FOREST, SWAMP, WET                             |                            | 0x00FFFFFF (  16777215) | 0xFF90B879 (  -7292807) | 0xFF73A557 (  -9198249) |
|  58 | biomesoplenty:flower_field                 | Flower Field                  |  0.70 | MEDIUM   | 0.70 | false | false   |            | LUSH, PLAINS                                                      | spawn                      | 0x00FFFFFF (  16777215) | 0xFF7FBF5C (  -8405156) | 0xFF60AE33 ( -10441165) |
|  59 | biomesoplenty:grassland                    | Grassland                     |  0.60 | MEDIUM   | 0.70 | false | false   |            | HILLS, PLAINS, WET                                                | spawn, village             | 0x00FFFFFF (  16777215) | 0xFF83BD65 (  -8143515) | 0xFF65AB3E ( -10114242) |
|  60 | biomesoplenty:grove                        | Grove                         |  0.60 | MEDIUM   | 0.80 | false | false   |            | FOREST, LUSH, PLAINS, SPARSE, WET                                 | spawn, stronghold, village | 0x00FFFFFF (  16777215) | 0xFF7FBD64 (  -8405660) | 0xFF5FAC3C ( -10507204) |
|  61 | biomesoplenty:highland                     | Highland                      |  0.60 | MEDIUM   | 0.80 | false | false   |            | HILLS, MOUNTAIN, WET                                              | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF7FBD64 (  -8405660) | 0xFF5FAC3C ( -10507204) |
|  62 | biomesoplenty:land_of_lakes                | Land of Lakes                 |  0.50 | MEDIUM   | 0.90 | false | false   |            | DENSE, FOREST, SWAMP, WET                                         | spawn                      | 0x00FFFFFF (  16777215) | 0xFF7FBC6D (  -8405907) | 0xFF60AA48 ( -10442168) |
|  63 | biomesoplenty:lavender_fields              | Lavender Fields               |  0.70 | MEDIUM   | 0.70 | false | false   |            | LUSH, MAGICAL, PLAINS                                             |                            | 0x00FFFFFF (  16777215) | 0xFF7FBF5C (  -8405156) | 0xFF60AE33 ( -10441165) |
|  64 | biomesoplenty:lush_desert                  | Lush Desert                   |  1.20 | WARM     | 0.40 | false | false   |            | DRY, HOT, LUSH, SANDY, SAVANNA, SPARSE                            | village                    | 0x00FFFFFF (  16777215) | 0xFF8EC048 (  -7421880) | 0xFF72AF1A (  -9261286) |
|  65 | biomesoplenty:lush_swamp                   | Lush Swamp                    |  0.70 | MEDIUM   | 1.00 | false | false   |            | DENSE, LUSH, SWAMP, WET                                           | spawn                      | 0x00FFFFFF (  16777215) | 0xFF6DC257 (  -9584041) | 0xFF48B22C ( -12013012) |
|  66 | biomesoplenty:mangrove                     | Mangrove                      |  0.85 | MEDIUM   | 0.30 | false | false   |            | DENSE, LUSH, SWAMP, WATER, WET                                    |                            | 0x00CDFF51 (  13500241) | 0xFF9ABC57 (  -6636457) | 0xFF81AA2D (  -8279507) |
|  67 | biomesoplenty:maple_woods                  | Maple Woods                   |  0.25 | MEDIUM   | 0.80 | false | false   |            | COLD, CONIFEROUS, DENSE, FOREST                                   | spawn, stronghold          | 0x00FFFFFF (  16777215) | 0xFF86B783 (  -7948413) | 0xFF68A464 (  -9919388) |
|  68 | biomesoplenty:marsh                        | Marsh                         |  0.60 | MEDIUM   | 0.80 | false | false   |            | LUSH, WET                                                         |                            | 0x00FFFFFF (  16777215) | 0xFF7FBD64 (  -8405660) | 0xFF5FAC3C ( -10507204) |
|  69 | biomesoplenty:meadow                       | Meadow                        |  0.40 | MEDIUM   | 0.70 | false | false   |            | COLD, FOREST, LUSH, PLAINS, SPARSE, WET                           | spawn, village             | 0x00FFFFFF (  16777215) | 0xFF88B977 (  -7816841) | 0xFF6AA755 (  -9787563) |
