+-------------------------------+--------------------------------------------------------------------+------------+---------------------+
| NOTE: The Hardness and Resistance values are the raw base values in the fields                                                        |
| of the Block class in question. The actual final values may be different                                                              |
| for different states of the block, or they may depend on a TileEntity etc.                                                            |
+-------------------------------+--------------------------------------------------------------------+------------+---------------------+
| Mod name                      | Registry name                                                      |   Hardness |          Resistance |
+-------------------------------+--------------------------------------------------------------------+------------+---------------------+
| AgriCraft                     | agricraft:crop                                                     |       0.00 |                0.00 |
| AgriCraft                     | agricraft:grate                                                    |       2.00 |               15.00 |
| AgriCraft                     | agricraft:peripheral                                               |       0.00 |                0.00 |
| AgriCraft                     | agricraft:seed_analyzer                                            |       1.00 |                3.00 |
| AgriCraft                     | agricraft:sprinkler                                                |       2.00 |               15.00 |
| AgriCraft                     | agricraft:water_channel_full                                       |       2.00 |               15.00 |
| AgriCraft                     | agricraft:water_channel_normal                                     |       2.00 |               15.00 |
| AgriCraft                     | agricraft:water_channel_valve                                      |       2.00 |               15.00 |
| AgriCraft                     | agricraft:water_pad                                                |       0.50 |                2.50 |
| AgriCraft                     | agricraft:water_tank                                               |       2.00 |               15.00 |
| Aroma1997's Dimensional World | aroma1997sdimension:miningore                                      |       2.50 |               12.50 |
| Aroma1997's Dimensional World | aroma1997sdimension:miningportal                                   |      -1.00 |                0.00 |
| Aroma1997's Dimensional World | aroma1997sdimension:portalframe                                    |       1.50 |                7.50 |
| Atum 2                        | atum:alabaster                                                     |       1.50 |               30.00 |
| Atum 2                        | atum:alabaster_brick_carved                                        |       1.50 |               30.00 |
| Atum 2                        | atum:alabaster_brick_pillar                                        |       1.50 |               30.00 |
| Atum 2                        | atum:alabaster_brick_polished                                      |       1.50 |               30.00 |
| Atum 2                        | atum:alabaster_brick_smooth                                        |       1.50 |               30.00 |
| Atum 2                        | atum:alabaster_brick_tiled                                         |       1.50 |               30.00 |
| Atum 2                        | atum:alabaster_carved_slab                                         |       2.00 |               10.00 |
| Atum 2                        | atum:alabaster_carved_stairs                                       |       1.50 |               30.00 |
| Atum 2                        | atum:alabaster_carved_wall                                         |       2.00 |               10.00 |
| Atum 2                        | atum:alabaster_pillar_slab                                         |       2.00 |               10.00 |
| Atum 2                        | atum:alabaster_pillar_stairs                                       |       1.50 |               30.00 |
| Atum 2                        | atum:alabaster_pillar_wall                                         |       2.00 |               10.00 |
| Atum 2                        | atum:alabaster_polished_slab                                       |       2.00 |               10.00 |
| Atum 2                        | atum:alabaster_polished_stairs                                     |       1.50 |               30.00 |
| Atum 2                        | atum:alabaster_polished_wall                                       |       2.00 |               10.00 |
| Atum 2                        | atum:alabaster_smooth_slab                                         |       2.00 |               10.00 |
| Atum 2                        | atum:alabaster_smooth_stairs                                       |       1.50 |               30.00 |
| Atum 2                        | atum:alabaster_smooth_wall                                         |       2.00 |               10.00 |
| Atum 2                        | atum:alabaster_tiled_slab                                          |       2.00 |               10.00 |
| Atum 2                        | atum:alabaster_tiled_stairs                                        |       1.50 |               30.00 |
| Atum 2                        | atum:alabaster_tiled_wall                                          |       2.00 |               10.00 |
| Atum 2                        | atum:anputs_fingers                                                |       0.00 |                0.00 |
| Atum 2                        | atum:arrow_trap                                                    |       1.50 |                7.50 |
| Atum 2                        | atum:bone_ladder                                                   |       0.40 |                2.00 |
| Atum 2                        | atum:bone_ore                                                      |       3.00 |               15.00 |
| Atum 2                        | atum:bone_torch                                                    |       0.00 |                0.00 |
| Atum 2                        | atum:bone_torch_unlit                                              |       0.00 |                0.00 |
| Atum 2                        | atum:burning_trap                                                  |       1.50 |                7.50 |
| Atum 2                        | atum:carved_stairs                                                 |       1.50 |               30.00 |
| Atum 2                        | atum:carved_wall                                                   |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_black                                                 |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_blue                                                  |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_brown                                                 |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_cyan                                                  |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_gray                                                  |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_green                                                 |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_light_blue                                            |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_lime                                                  |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_magenta                                               |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_orange                                                |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_pink                                                  |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_purple                                                |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_red                                                   |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_silver                                                |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_slab_black                                            |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_blue                                             |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_brown                                            |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_cyan                                             |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_gray                                             |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_green                                            |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_light_blue                                       |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_lime                                             |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_magenta                                          |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_orange                                           |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_pink                                             |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_purple                                           |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_red                                              |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_silver                                           |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_white                                            |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_slab_yellow                                           |       2.00 |               10.00 |
| Atum 2                        | atum:ceramic_stairs_black                                          |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_blue                                           |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_brown                                          |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_cyan                                           |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_gray                                           |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_green                                          |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_light_blue                                     |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_lime                                           |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_magenta                                        |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_orange                                         |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_pink                                           |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_purple                                         |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_red                                            |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_silver                                         |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_white                                          |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_stairs_yellow                                         |       1.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_black                                            |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_blue                                             |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_brown                                            |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_cyan                                             |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_gray                                             |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_green                                            |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_light_blue                                       |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_lime                                             |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_magenta                                          |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_orange                                           |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_pink                                             |       0.50 |               30.00 |
| Atum 2                        | atum:ceramic_tile_purple                                           |       0.50 |               30.00 |
