+-------------------------------+--------------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------+--------+------------------------------------------------------------+---------------------------------------------------------------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+-------------------------------+--------------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------+--------+------------------------------------------------------------+---------------------------------------------------------------------------------------------------------+
| Mod name                      | Registry name                                                      | BlockID | Subtypes | Item ID | Item meta | Display name                                              | Exists | Ore Dict keys                                              | NBT                                                                                                     |
+-------------------------------+--------------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------+--------+------------------------------------------------------------+---------------------------------------------------------------------------------------------------------+
| AgriCraft                     | agricraft:crop                                                     |    3344 |    false |         |           | tile.agricraft:crop.name                                  | true   |                                                            |                                                                                                         |
| AgriCraft                     | agricraft:grate                                                    |    3353 |    false |    8953 |         0 | Wooden Grate                                              | true   |                                                            |                                                                                                         |
| AgriCraft                     | agricraft:peripheral                                               |    3346 |    false |    8947 |         0 | Computer Controlled Seed Analyzer                         | true   |                                                            |                                                                                                         |
| AgriCraft                     | agricraft:seed_analyzer                                            |    3345 |    false |    8946 |         0 | Seed Analyzer                                             | true   |                                                            |                                                                                                         |
| AgriCraft                     | agricraft:sprinkler                                                |    3352 |    false |    8952 |         0 | Sprinkler                                                 | true   |                                                            |                                                                                                         |
| AgriCraft                     | agricraft:water_channel_full                                       |    3350 |    false |    8950 |         0 | Wooden Irrigation Channel                                 | true   |                                                            |                                                                                                         |
| AgriCraft                     | agricraft:water_channel_normal                                     |    3349 |    false |    8949 |         0 | Wooden Irrigation Channel                                 | true   |                                                            |                                                                                                         |
| AgriCraft                     | agricraft:water_channel_valve                                      |    3351 |    false |    8951 |         0 | Wooden Channel Valve                                      | true   |                                                            |                                                                                                         |
| AgriCraft                     | agricraft:water_pad                                                |    3347 |    false |         |           | Water Pad                                                 | true   |                                                            |                                                                                                         |
| AgriCraft                     | agricraft:water_tank                                               |    3348 |    false |    8948 |         0 | Wooden Water Tank                                         | true   |                                                            |                                                                                                         |
| Aroma1997's Dimensional World | aroma1997sdimension:miningore                                      |    3356 |     true |    8967 |         0 | Sticky Ore                                                | true   |                                                            |                                                                                                         |
| Aroma1997's Dimensional World | aroma1997sdimension:miningore                                      |    3356 |     true |    8967 |         1 | Clay Ore                                                  | true   |                                                            |                                                                                                         |
| Aroma1997's Dimensional World | aroma1997sdimension:miningportal                                   |    3355 |     true |         |           | tile.null.name                                            | true   |                                                            |                                                                                                         |
| Aroma1997's Dimensional World | aroma1997sdimension:miningportal                                   |    3355 |     true |         |           | tile.null.name                                            | true   |                                                            |                                                                                                         |
| Aroma1997's Dimensional World | aroma1997sdimension:miningportal                                   |    3355 |     true |         |           | tile.null.name                                            | true   |                                                            |                                                                                                         |
| Aroma1997's Dimensional World | aroma1997sdimension:portalframe                                    |    3354 |    false |    8964 |         0 | Portal Frame                                              | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster                                                     |     707 |    false |    4571 |         0 | Alabaster                                                 | true   | stoneAlabaster                                             |                                                                                                         |
| Atum 2                        | atum:alabaster_brick_carved                                        |     710 |    false |    4574 |         0 | Carved Alabaster Brick                                    | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_brick_pillar                                        |     712 |    false |    4576 |         0 | Pillar Alabaster Brick                                    | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_brick_polished                                      |     709 |    false |    4573 |         0 | Polished Alabaster Brick                                  | true   | stoneAlabasterPolished                                     |                                                                                                         |
| Atum 2                        | atum:alabaster_brick_smooth                                        |     708 |    false |    4572 |         0 | Smooth Alabaster                                          | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_brick_tiled                                         |     711 |    false |    4575 |         0 | Tiled Alabaster Brick                                     | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_carved_slab                                         |     715 |    false |    4579 |         0 | Carved Alabaster Slab                                     | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_carved_stairs                                       |     720 |    false |    4584 |         0 | Carved Alabaster Stairs                                   | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_carved_wall                                         |     725 |    false |    4589 |         0 | Carved Alabaster Wall                                     | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_pillar_slab                                         |     717 |    false |    4581 |         0 | Pillar Alabaster Slab                                     | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_pillar_stairs                                       |     722 |    false |    4586 |         0 | Pillar Alabaster Stairs                                   | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_pillar_wall                                         |     727 |    false |    4591 |         0 | Pillar Alabaster Wall                                     | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_polished_slab                                       |     714 |    false |    4578 |         0 | Polished Alabaster Slab                                   | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_polished_stairs                                     |     719 |    false |    4583 |         0 | Polished Alabaster Stairs                                 | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_polished_wall                                       |     724 |    false |    4588 |         0 | Polished Alabaster Wall                                   | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_smooth_slab                                         |     713 |    false |    4577 |         0 | Smooth Alabaster Slab                                     | true   |                                                            |                                                                                                         |
| Atum 2                        | atum:alabaster_smooth_stairs                                       |     718 |    false |    4582 |         0 | Smooth Alabaster Stairs                                   | true   |                                                            |                                                                                                         |
