+-------+-----------------------------------+------------------------------+----------------------------------------------------------------------------+
| Index | Name                              | Translated Name              | Icon Item                                                                  |
+-------+-----------------------------------+------------------------------+----------------------------------------------------------------------------+
|     0 | buildingBlocks                    | Building Blocks              | [minecraft:brick_block@0 - 'Bricks']                                       |
|     1 | decorations                       | Decoration Blocks            | [minecraft:double_plant@5 - 'Peony']                                       |
|     2 | redstone                          | Redstone                     | [minecraft:redstone@0 - 'Redstone']                                        |
|     3 | transportation                    | Transportation               | [minecraft:golden_rail@0 - 'Booster Track']                                |
|     4 | hotbar                            | Saved Toolbars               | [minecraft:bookshelf@0 - 'Oak Bookshelf']                                  |
|     5 | search                            | Search Items                 | [minecraft:compass@0 - 'Compass']                                          |
|     6 | misc                              | Miscellaneous                | [minecraft:lava_bucket@0 - 'Lava Bucket']                                  |
|     7 | food                              | Foodstuffs                   | [minecraft:apple@0 - 'Apple']                                              |
|     8 | tools                             | Tools                        | [minecraft:iron_axe@0 - 'Iron Axe']                                        |
|     9 | combat                            | Combat                       | [minecraft:golden_sword@0 - 'Golden Sword']                                |
|    10 | brewing                           | Brewing                      | [minecraft:potion@0 - 'Water Bottle']                                      |
|    11 | inventory                         | Survival Inventory           | [minecraft:chest@0 - 'Oak Chest']                                          |
|    12 | tabSecurityCraft.technical        | SecurityCraft: Technical     | [securitycraft:username_logger@0 - 'Username Logger']                      |
|    13 | tabSecurityCraft.explosives       | SecurityCraft: Explosives    | [securitycraft:mine@0 - 'Mine']                                            |
|    14 | tabSecurityCraft.decoration       | SecurityCraft: Decoration    | [securitycraft:reinforced_stairs_oak@0 - 'Reinforced Oak Stairs']          |
|    15 | aroma1997sdimension:creativeTabDW | Aroma1997s Dimensional World | [aroma1997sdimension:miningmultitool@0 - 'Mining Multitool']               |
|    16 | waystones                         | Waystones                    | [waystones:waystone@0 - 'Waystone']                                        |
|    17 | atum                              | Atum                         | [atum:scarab@0 - 'Scarab']                                                 |
|    18 | watertribearmory                  | Water Tribe Armory           | [am:battle_club@0 - 'Battle Club']                                         |
|    19 | firenationarmory                  | Fire Nation Armory           | [am:dao_broadsword@0 - 'Dao Broadsword']                                   |
|    20 | earthkingdomarmory                | Earth Kingdom Armory         | [am:hammer@0 - 'Hammer']                                                   |
|    21 | airnomadarmory                    | Air Nomad Armory             | [am:staff@0 - 'Staff']                                                     |
