+--------------------------------+------------------------------------------------------+--------------------------------------------------------------------------------------+--------+
| Mod name                       | Registry name                                        | Entity class name                                                                    |     ID |
+--------------------------------+------------------------------------------------------+--------------------------------------------------------------------------------------+--------+
| Aquaculture                    | aquaculture:custom_fish_hook                         | com.teammetallurgy.aquaculture.handlers.EntityCustomFishHook                         |      0 |
| Atum 2                         | atum:arrow_double_shot_black                         | com.teammetallurgy.atum.entity.projectile.arrow.EntityArrowDoubleShotBlack           |     21 |
| Atum 2                         | atum:arrow_double_shot_white                         | com.teammetallurgy.atum.entity.projectile.arrow.EntityArrowDoubleShotWhite           |     22 |
| Atum 2                         | atum:arrow_explosive                                 | com.teammetallurgy.atum.entity.projectile.arrow.EntityArrowExplosive                 |     23 |
| Atum 2                         | atum:arrow_fire                                      | com.teammetallurgy.atum.entity.projectile.arrow.EntityArrowFire                      |     24 |
| Atum 2                         | atum:arrow_poison                                    | com.teammetallurgy.atum.entity.projectile.arrow.EntityArrowPoison                    |     26 |
| Atum 2                         | atum:arrow_quickdraw                                 | com.teammetallurgy.atum.entity.projectile.arrow.EntityArrowQuickdraw                 |     27 |
| Atum 2                         | atum:arrow_rain                                      | com.teammetallurgy.atum.entity.projectile.arrow.EntityArrowRain                      |     28 |
| Atum 2                         | atum:arrow_slowness                                  | com.teammetallurgy.atum.entity.projectile.arrow.EntityArrowSlowness                  |     29 |
| Atum 2                         | atum:arrow_straight                                  | com.teammetallurgy.atum.entity.projectile.arrow.EntityArrowStraight                  |     31 |
| Atum 2                         | atum:assassin                                        | com.teammetallurgy.atum.entity.bandit.EntityAssassin                                 |      1 |
| Atum 2                         | atum:barbarian                                       | com.teammetallurgy.atum.entity.bandit.EntityBarbarian                                |      3 |
| Atum 2                         | atum:bonestorm                                       | com.teammetallurgy.atum.entity.undead.EntityBonestorm                                |      4 |
| Atum 2                         | atum:brigand                                         | com.teammetallurgy.atum.entity.bandit.EntityBrigand                                  |      5 |
| Atum 2                         | atum:camel                                           | com.teammetallurgy.atum.entity.animal.EntityCamel                                    |      6 |
| Atum 2                         | atum:camel_spit                                      | com.teammetallurgy.atum.entity.projectile.EntityCamelSpit                            |     20 |
| Atum 2                         | atum:desert_rabbit                                   | com.teammetallurgy.atum.entity.animal.EntityDesertRabbit                             |     12 |
| Atum 2                         | atum:desert_wolf                                     | com.teammetallurgy.atum.entity.animal.EntityDesertWolf                               |      7 |
| Atum 2                         | atum:forsaken                                        | com.teammetallurgy.atum.entity.undead.EntityForsaken                                 |      8 |
