+--------------------------------+------------------------------------------------------+-------------------------------+--------+
| Mod name                       | Registry name                                        | Entity class name             |     ID |
+--------------------------------+------------------------------------------------------+-------------------------------+--------+
| Aquaculture                    | aquaculture:custom_fish_hook                         | EntityCustomFishHook          |      0 |
| Atum 2                         | atum:arrow_double_shot_black                         | EntityArrowDoubleShotBlack    |     21 |
| Atum 2                         | atum:arrow_double_shot_white                         | EntityArrowDoubleShotWhite    |     22 |
| Atum 2                         | atum:arrow_explosive                                 | EntityArrowExplosive          |     23 |
| Atum 2                         | atum:arrow_fire                                      | EntityArrowFire               |     24 |
| Atum 2                         | atum:arrow_poison                                    | EntityArrowPoison             |     26 |
| Atum 2                         | atum:arrow_quickdraw                                 | EntityArrowQuickdraw          |     27 |
| Atum 2                         | atum:arrow_rain                                      | EntityArrowRain               |     28 |
| Atum 2                         | atum:arrow_slowness                                  | EntityArrowSlowness           |     29 |
| Atum 2                         | atum:arrow_straight                                  | EntityArrowStraight           |     31 |
| Atum 2                         | atum:assassin                                        | EntityAssassin                |      1 |
| Atum 2                         | atum:barbarian                                       | EntityBarbarian               |      3 |
| Atum 2                         | atum:bonestorm                                       | EntityBonestorm               |      4 |
| Atum 2                         | atum:brigand                                         | EntityBrigand                 |      5 |
| Atum 2                         | atum:camel                                           | EntityCamel                   |      6 |
| Atum 2                         | atum:camel_spit                                      | EntityCamelSpit               |     20 |
| Atum 2                         | atum:desert_rabbit                                   | EntityDesertRabbit            |     12 |
| Atum 2                         | atum:desert_wolf                                     | EntityDesertWolf              |      7 |
| Atum 2                         | atum:forsaken                                        | EntityForsaken                |      8 |
| Atum 2                         | atum:heart_of_ra                                     | EntityHeartOfRa               |     25 |
| Atum 2                         | atum:mummy                                           | EntityMummy                   |      9 |
| Atum 2                         | atum:nomad                                           | EntityNomad                   |     10 |
| Atum 2                         | atum:pharaoh                                         | EntityPharaoh                 |     11 |
| Atum 2                         | atum:scarab                                          | EntityScarab                  |     13 |
| Atum 2                         | atum:small_bone                                      | EntitySmallBone               |     30 |
| Atum 2                         | atum:stoneguard                                      | EntityStoneguard              |     14 |
| Atum 2                         | atum:stonewarden                                     | EntityStonewarden             |     15 |
| Atum 2                         | atum:sunspeaker                                      | EntitySunspeaker              |     16 |
| Atum 2                         | atum:tarantula                                       | EntityTarantula               |     17 |
| Atum 2                         | atum:tefnuts_call                                    | EntityTefnutsCall             |     32 |
| Atum 2                         | atum:warlord                                         | EntityWarlord                 |      2 |
| Atum 2                         | atum:wraith                                          | EntityWraith                  |     18 |
| Avatar Mod: Out of the Iceberg | avatarmod:airbender                                  | EntityAirbender               |     15 |
| Avatar Mod: Out of the Iceberg | avatarmod:airblade                                   | EntityAirblade                |     12 |
| Avatar Mod: Out of the Iceberg | avatarmod:airbubble                                  | EntityAirBubble               |     13 |
| Avatar Mod: Out of the Iceberg | avatarmod:airgust                                    | EntityAirGust                 |      4 |
| Avatar Mod: Out of the Iceberg | avatarmod:cloudburst                                 | EntityCloudBall               |     25 |
| Avatar Mod: Out of the Iceberg | avatarmod:earthspike                                 | EntityEarthspike              |     26 |
| Avatar Mod: Out of the Iceberg | avatarmod:earthspikespawner                          | EntityEarthspikeSpawner       |     28 |
| Avatar Mod: Out of the Iceberg | avatarmod:explosionspawner                           | EntityExplosionSpawner        |     31 |
| Avatar Mod: Out of the Iceberg | avatarmod:firearc                                    | EntityFireArc                 |      2 |
| Avatar Mod: Out of the Iceberg | avatarmod:fireball                                   | EntityFireball                |     11 |
| Avatar Mod: Out of the Iceberg | avatarmod:firebender                                 | EntityFirebender              |     14 |
| Avatar Mod: Out of the Iceberg | avatarmod:flames                                     | EntityFlames                  |      6 |
| Avatar Mod: Out of the Iceberg | avatarmod:floatingblock                              | EntityFloatingBlock           |      1 |
| Avatar Mod: Out of the Iceberg | avatarmod:iceprison                                  | EntityIcePrison               |     21 |
| Avatar Mod: Out of the Iceberg | avatarmod:iceshard                                   | EntityIceShard                |     20 |
| Avatar Mod: Out of the Iceberg | avatarmod:iceshield                                  | EntityIceShield               |     19 |
| Avatar Mod: Out of the Iceberg | avatarmod:item                                       | AvatarEntityItem              |     18 |
| Avatar Mod: Out of the Iceberg | avatarmod:lightning_arc                              | EntityLightningArc            |     24 |
| Avatar Mod: Out of the Iceberg | avatarmod:lightning_spear                            | EntityLightningSpear          |     27 |
| Avatar Mod: Out of the Iceberg | avatarmod:lightningspawner                           | EntityLightningSpawner        |     32 |
| Avatar Mod: Out of the Iceberg | avatarmod:ostrichhorse                               | EntityOstrichHorse            |     22 |
| Avatar Mod: Out of the Iceberg | avatarmod:otterpenguin                               | EntityOtterPenguin            |     17 |
| Avatar Mod: Out of the Iceberg | avatarmod:ravine                                     | EntityRavine                  |      5 |
| Avatar Mod: Out of the Iceberg | avatarmod:sandprison                                 | EntitySandPrison              |     23 |
| Avatar Mod: Out of the Iceberg | avatarmod:sandstorm                                  | EntitySandstorm               |     30 |
| Avatar Mod: Out of the Iceberg | avatarmod:shockwave                                  | EntityShockwave               |     33 |
| Avatar Mod: Out of the Iceberg | avatarmod:skybison                                   | EntitySkyBison                |     16 |
| Avatar Mod: Out of the Iceberg | avatarmod:wall                                       | EntityWall                    |      9 |
| Avatar Mod: Out of the Iceberg | avatarmod:wallsegment                                | EntityWallSegment             |     10 |
| Avatar Mod: Out of the Iceberg | avatarmod:waterarc                                   | EntityWaterArc                |      3 |
| Avatar Mod: Out of the Iceberg | avatarmod:waterbubble                                | EntityWaterBubble             |      8 |
| Avatar Mod: Out of the Iceberg | avatarmod:watercannon                                | EntityWaterCannon             |     29 |
| Avatar Mod: Out of the Iceberg | avatarmod:wave                                       | EntityWave                    |      7 |
| Better Animals Plus            | betteranimalsplus:badger                             | EntityBadger                  |     16 |
| Better Animals Plus            | betteranimalsplus:badgerdirt                         | EntityBadgerDirt              |     32 |
| Better Animals Plus            | betteranimalsplus:blackbear                          | EntityBearNeutral             |      1 |
| Better Animals Plus            | betteranimalsplus:boar                               | EntityBoar                    |     13 |
| Better Animals Plus            | betteranimalsplus:bobbit_worm                        | EntityBobbitWorm              |     25 |
| Better Animals Plus            | betteranimalsplus:brownbear                          | EntityBear                    |      0 |
| Better Animals Plus            | betteranimalsplus:coyote                             | EntityCoyote                  |      5 |
| Better Animals Plus            | betteranimalsplus:crab                               | EntityCrab                    |     19 |
| Better Animals Plus            | betteranimalsplus:deer                               | EntityDeer                    |      2 |
| Better Animals Plus            | betteranimalsplus:eel_freshwater                     | EntityFreshwaterEel           |     27 |
| Better Animals Plus            | betteranimalsplus:eel_saltwater                      | EntitySaltwaterEel            |     28 |
| Better Animals Plus            | betteranimalsplus:feralwolf                          | EntityFeralWolf               |      4 |
| Better Animals Plus            | betteranimalsplus:fox                                | EntityFox                     |      6 |
| Better Animals Plus            | betteranimalsplus:goat                               | EntityGoat                    |      9 |
| Better Animals Plus            | betteranimalsplus:golden_goose_egg                   | EntityGoldenGooseEgg          |     37 |
| Better Animals Plus            | betteranimalsplus:goose                              | EntityGoose                   |     26 |
| Better Animals Plus            | betteranimalsplus:goose_egg                          | EntityGooseEgg                |     36 |
| Better Animals Plus            | betteranimalsplus:hirschgeist                        | EntityHirschgeist             |      8 |
| Better Animals Plus            | betteranimalsplus:horseshoecrab                      | EntityHorseshoeCrab           |     20 |
| Better Animals Plus            | betteranimalsplus:jellyfish                          | EntityJellyfish               |     10 |
| Better Animals Plus            | betteranimalsplus:kermodebear                        | EmptyEntity                   |     33 |
| Better Animals Plus            | betteranimalsplus:lammergeier                        | EntityLammergeier             |      3 |
| Better Animals Plus            | betteranimalsplus:lamprey                            | EntityLamprey                 |     17 |
| Better Animals Plus            | betteranimalsplus:moose                              | EntityMoose                   |     22 |
| Better Animals Plus            | betteranimalsplus:nautilus                           | EntityNautilus                |     18 |
| Better Animals Plus            | betteranimalsplus:pheasant                           | EntityPheasant                |     11 |
| Better Animals Plus            | betteranimalsplus:pheasantegg                        | EntityPheasantEgg             |     34 |
| Better Animals Plus            | betteranimalsplus:reindeer                           | EntityReindeer                |     12 |
| Better Animals Plus            | betteranimalsplus:shark                              | EntityShark                   |     21 |
| Better Animals Plus            | betteranimalsplus:songbird                           | EntitySongbird                |     15 |
| Better Animals Plus            | betteranimalsplus:squirrel                           | EntitySquirrel                |     14 |
| Better Animals Plus            | betteranimalsplus:tarantula                          | EntityTarantula               |      7 |
| Better Animals Plus            | betteranimalsplus:tarantulahair                      | EntityTarantulaHair           |     31 |
| Better Animals Plus            | betteranimalsplus:turkey                             | EntityTurkey                  |     23 |
| Better Animals Plus            | betteranimalsplus:turkeyegg                          | EntityTurkeyEgg               |     35 |
| Better Animals Plus            | betteranimalsplus:walrus                             | EntityWalrus                  |     30 |
| Better Animals Plus            | betteranimalsplus:whale                              | EntityWhale                   |     29 |
| Better Animals Plus            | betteranimalsplus:zotzpyre                           | EntityZotzpyre                |     24 |
| Better Portals                 | betterportals:end_entry_portal                       | EndEntryPortalEntity          |      1 |
| Better Portals                 | betterportals:end_exit_portal                        | EndExitPortalEntity           |      2 |
| Better Portals                 | betterportals:nether_portal                          | NetherPortalEntity            |      0 |
| Better Portals                 | betterportals:tf_portal                              | TFPortalEntity                |      3 |
| BiblioCraft                    | bibliocraft:biblioseat                               | EntitySeat                    |      0 |
| Biomes O' Plenty               | biomesoplenty:bop_boat                               | EntityBOPBoat                 |      2 |
| Biomes O' Plenty               | biomesoplenty:mudball                                | EntityMudball                 |      1 |
| Biomes O' Plenty               | biomesoplenty:wasp                                   | EntityWasp                    |      3 |
| Clumps                         | clumps:xp_orb_big                                    | EntityXPOrbBig                |      0 |
| Deep Mob Learning              | deepmoblearning:glitch                               | EntityGlitch                  |      0 |
| Deep Mob Learning              | deepmoblearning:glitch_orb                           | EntityGlitchOrb               |      1 |
| Deep Mob Learning              | deepmoblearning:item_glitch_fragment                 | EntityItemGlitchFragment      |      6 |
| Deep Mob Learning              | deepmoblearning:trial_cave_spider                    | EntityTrialCaveSpider         |      4 |
| Deep Mob Learning              | deepmoblearning:trial_enderman                       | EntityTrialEnderman           |      2 |
| Deep Mob Learning              | deepmoblearning:trial_slime                          | EntityTrialSlime              |      5 |
| Deep Mob Learning              | deepmoblearning:trial_spider                         | EntityTrialSpider             |      3 |
| Ender IO                       | enderio:falling_machine                              | EntityFallingMachine          |      1 |
| Ender IO                       | enderio:owl_egg                                      | EntityOwlEgg                  |      9 |
| Ender IO                       | enderio:primed_charge                                | EntityPrimedCharge            |      0 |
| Ender IO                       | enderiomachines:weather_rocket                       | EntityWeatherRocket           |     33 |
| Ender Zoo                      | enderzoo:concussioncreeper                           | EntityConcussionCreeper       | 689991 |
| Ender Zoo                      | enderzoo:direslime                                   | EntityDireSlime               | 689997 |
| Ender Zoo                      | enderzoo:direwolf                                    | EntityDireWolf                | 689996 |
| Ender Zoo                      | enderzoo:enderminy                                   | EntityEnderminy               | 689990 |
| Ender Zoo                      | enderzoo:entityowlegg                                | EntityOwlEgg                  | 679991 |
| Ender Zoo                      | enderzoo:entityprimedcharge                          | EntityPrimedCharge            | 699998 |
| Ender Zoo                      | enderzoo:fallenknight                                | EntityFallenKnight            | 689992 |
| Ender Zoo                      | enderzoo:fallenmount                                 | EntityFallenMount             | 689993 |
| Ender Zoo                      | enderzoo:owl                                         | EntityOwl                     | 689998 |
| Ender Zoo                      | enderzoo:withercat                                   | EntityWitherCat               | 689995 |
| Ender Zoo                      | enderzoo:witherwitch                                 | EntityWitherWitch             | 689994 |
| Extra Planets                  | extraplanets:entitygenerallander                     | EntityGeneralLander           |     17 |
| Extra Planets                  | extraplanets:extraplanets.entitsaturnlander          | EntitySaturnLander            |      7 |
| Extra Planets                  | extraplanets:extraplanets.entityjupiterlander        | EntityJupiterLander           |      5 |
| Extra Planets                  | extraplanets:extraplanets.entitymarsrover            | EntityMarsRover               |     15 |
| Extra Planets                  | extraplanets:extraplanets.entitymercurylander        | EntityMercuryLander           |      3 |
| Extra Planets                  | extraplanets:extraplanets.entityneptunelander        | EntityNeptuneLander           |     11 |
| Extra Planets                  | extraplanets:extraplanets.entitytier10electricrocket | EntityElectricRocket          |     14 |
| Extra Planets                  | extraplanets:extraplanets.entitytier10rocket         | EntityTier10Rocket            |     13 |
| Extra Planets                  | extraplanets:extraplanets.entitytier4rocket          | EntityTier4Rocket             |      2 |
| Extra Planets                  | extraplanets:extraplanets.entitytier5rocket          | EntityTier5Rocket             |      4 |
| Extra Planets                  | extraplanets:extraplanets.entitytier6rocket          | EntityTier6Rocket             |      6 |
| Extra Planets                  | extraplanets:extraplanets.entitytier7rocket          | EntityTier7Rocket             |      8 |
| Extra Planets                  | extraplanets:extraplanets.entitytier8rocket          | EntityTier8Rocket             |     10 |
| Extra Planets                  | extraplanets:extraplanets.entitytier9rocket          | EntityTier9Rocket             |     12 |
| Extra Planets                  | extraplanets:extraplanets.entityuranuslander         | EntityUranusLander            |      9 |
