+----------------------------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------------------+
| Name                                         | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                                          |
+----------------------------------------------+---------+-------------+-----------+------------+----------+-----------+----------------------------------------------------------------+
| alubrass                                     |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_alubrass                                     |
| aluminum                                     |    2000 |         330 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_aluminum                                     |
| ardite                                       |    2000 |         860 |     10000 |         10 | RARE     |     false | tconstruct:molten_ardite                                       |
| argon                                        |       1 |         295 |         4 |          0 | COMMON   |      true | -                                                              |
| atmosphericgases                             |       1 |         295 |        13 |          0 | COMMON   |      true | -                                                              |
| bacterialsludge                              |     800 |         300 |      1500 |          0 | COMMON   |     false | galacticraftplanets:sludge                                     |
| blood                                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:blood                                            |
| blueslime                                    |    1500 |         310 |      1500 |          0 | COMMON   |     false | tconstruct:blueslime                                           |
| brass                                        |    2000 |         470 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_brass                                        |
| brine                                        |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                              |
| bronze                                       |    2000 |         475 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_bronze                                       |
| carbondioxide                                |       2 |         295 |        20 |          0 | COMMON   |      true | -                                                              |
| clay                                         |    2000 |         700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_clay                                         |
| clean_water_fluid                            |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:clean_water                                       |
| cloud_seed                                   |     500 |         300 |       800 |          0 | COMMON   |     false | enderio:block_fluid_cloud_seed                                 |
| cloud_seed_concentrated                      |    1000 |         300 |      1200 |          0 | COMMON   |     false | enderio:block_fluid_cloud_seed_concentrated                    |
| cobalt                                       |    2000 |         950 |     10000 |         10 | RARE     |     false | tconstruct:molten_cobalt                                       |
| conductive_iron                              |    9000 |        1400 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_conductive_iron                            |
| construction_alloy                           |    9000 |         563 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_construction_alloy                         |
| copper                                       |    2000 |         542 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_copper                                       |
| creosote                                     |     800 |         320 |      1500 |          0 | COMMON   |     false | railcraft:creosote                                             |
| crude_steel                                  |    9000 |         413 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_crude_steel                                |
| crystalline_alloy                            |    9000 |        1425 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_crystalline_alloy                          |
| crystalline_pink_slime                       |    9000 |        1447 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_crystalline_pink_slime                     |
| cyanite                                      |     100 |         295 |       100 |          6 | UNCOMMON |     false | bigreactors:cyanite                                            |
| dark_steel                                   |    9000 |        1813 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_dark_steel                                 |
| dirt                                         |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_dirt                                         |
| electrical_steel                             |    9000 |        1475 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_electrical_steel                           |
| electrum                                     |    2000 |         500 |     10000 |         10 | EPIC     |     false | tconstruct:molten_electrum                                     |
| emerald                                      |    2000 |         999 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_emerald                                      |
| end_steel                                    |    9000 |        1213 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_end_steel                                  |
| ender                                        |    4000 |        1273 |        35 |          3 | COMMON   |     false | enderio:block_fluid_ender                                      |
| ender_distillation                           |     200 |         175 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_ender_distillation                         |
| energetic_alloy                              |    9000 |        1128 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_energetic_alloy                            |
| energetic_silver                             |    9000 |        1128 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_energetic_silver                           |
| fiery_essence                                |    1000 |        1000 |      1000 |          0 | COMMON   |     false | twilightforest:fiery_essence                                   |
| fierymetal                                   |    1000 |        1000 |      1000 |         15 | COMMON   |     false | twilightforest:molten_fierymetal                               |
| fire_water                                   |     900 |        2000 |      1000 |          0 | COMMON   |     false | enderio:block_fluid_fire_water                                 |
| fluid_booze_apple_cider_ethereal             |    1010 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_apples:fluid_applecider_apple_cider_ethereal       |
| fluid_booze_apple_cider_extended             |    1010 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_apples:fluid_applecider_apple_cider_extended       |
| fluid_booze_apple_cider_fermented            |    1010 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_apples:fluid_applecider_apple_cider_fermented      |
| fluid_booze_apple_cider_intoxicated          |    1010 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_apples:fluid_applecider_apple_cider_intoxicated    |
| fluid_booze_apple_cider_poisoned             |    1010 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_apples:fluid_applecider_apple_cider_poisoned       |
| fluid_booze_apple_cider_potent               |    1010 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_apples:fluid_applecider_apple_cider_potent         |
| fluid_booze_apple_cider_potentextended       |    1010 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_apples:fluid_applecider_apple_cider_potentextended |
| fluid_booze_apple_juice                      |    1010 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_apples:fluid_applecider_apple_juice                |
| fluid_booze_green_ambrosia                   |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_green_ambrosia             |
| fluid_booze_green_juice                      |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_green_juice                |
| fluid_booze_green_portwine                   |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_green_portwine             |
| fluid_booze_green_wine                       |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_green_wine                 |
| fluid_booze_green_wine_extended              |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_green_wine_extended        |
| fluid_booze_green_wine_intoxicated           |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_green_wine_intoxicated     |
| fluid_booze_green_wine_poisoned              |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_green_wine_poisoned        |
| fluid_booze_green_wine_potent                |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_grapes:fluid_grapebooze_green_wine_potent          |
| fluid_booze_hopale_extended                  |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_hopalebooze_extended                    |
| fluid_booze_hopale_hyperextended             |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_hopalebooze_hyperextended               |
| fluid_booze_hopale_intoxicated               |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_hopalebooze_intoxicated                 |
| fluid_booze_hopale_lager                     |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_hopalebooze_lager                       |
| fluid_booze_hopale_normal                    |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_hopalebooze_normal                      |
| fluid_booze_hopale_poisoned                  |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_hopalebooze_poisoned                    |
| fluid_booze_hopale_potent                    |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_hopalebooze_potent                      |
| fluid_booze_hopale_unhopped                  |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_hopalebooze_unhopped                    |
| fluid_booze_hopale_young                     |    1080 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_hops:fluid_hopalebooze_young                       |
| fluid_booze_kumis_kumis_extended             |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_kumisbooze_kumis_extended               |
| fluid_booze_kumis_kumis_fermented            |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_kumisbooze_kumis_fermented              |
| fluid_booze_kumis_kumis_hyperextended        |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_kumisbooze_kumis_hyperextended          |
| fluid_booze_kumis_kumis_poisoned             |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_kumisbooze_kumis_poisoned               |
| fluid_booze_kumis_kumis_potent               |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_kumisbooze_kumis_potent                 |
| fluid_booze_kumis_kumis_potent_extended      |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_kumisbooze_kumis_potent_extended        |
| fluid_booze_kumis_kumis_potent_hyperextended |    1120 |         300 |      1000 |          0 | COMMON   |     false | growthcraft_milk:fluid_kumisbooze_kumis_potent_hyperextended   |
