+----------------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+-------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                        |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                                |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                              |
| *** ALSO ***                                                                                                                                                                                                                           |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                              |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                               |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                              |
+----------------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+-------------------------------------------------------------+
| Mod name                   | Registry name                                   | Item ID | Meta/dmg | Subtypes | Display name                        | Hunger | Saturation | Ore Dict keys                                               |
+----------------------------+-------------------------------------------------+---------+----------+----------+-------------------------------------+--------+------------+-------------------------------------------------------------+
| Aquaculture                | aquaculture:food                                |    4102 |        0 |     true | Seaweed                             |      2 |        0.0 | cropSeaweed                                                 |
| Aquaculture                | aquaculture:food                                |    4102 |        1 |     true | Algae                               |      2 |        0.0 |                                                             |
| Aquaculture                | aquaculture:food                                |    4102 |        2 |     true | Raw Whale Steak                     |      2 |        0.3 |                                                             |
| Aquaculture                | aquaculture:food                                |    4102 |        3 |     true | Raw Fish Fillet                     |      2 |        0.3 | listAllfishraw                                              |
| Aquaculture                | aquaculture:food                                |    4102 |        4 |     true | Cooked Fish Fillet                  |      5 |        0.6 | listAllfishcooked                                           |
| Aquaculture                | aquaculture:food                                |    4102 |        5 |     true | Cooked Whale Steak                  |     10 |        0.8 |                                                             |
| Aquaculture                | aquaculture:food                                |    4102 |        6 |     true | Cooked Whale Burger                 |     20 |        0.8 |                                                             |
| Aquaculture                | aquaculture:food                                |    4102 |        7 |     true | Frog Legs                           |      2 |        0.3 |                                                             |
| Aquaculture                | aquaculture:food                                |    4102 |        8 |     true | Cooked Frog Legs                    |      3 |        0.6 |                                                             |
| Aquaculture                | aquaculture:food                                |    4102 |        9 |     true | Turtle Soup                         |      6 |        0.6 |                                                             |
| Aquaculture                | aquaculture:food                                |    4102 |       10 |     true | Sushi                               |      4 |        0.6 |                                                             |
| Atum 2                     | atum:camel_cooked                               |    5399 |        0 |    false | Cooked Camel                        |      9 |        0.7 |                                                             |
| Atum 2                     | atum:camel_raw                                  |    5398 |        0 |    false | Raw Camel                           |      3 |        0.2 |                                                             |
| Atum 2                     | atum:crunchy_golden_scarab                      |    5415 |        0 |    false | Crunchy Golden Scarab               |      6 |        1.2 |                                                             |
| Atum 2                     | atum:crunchy_scarab                             |    5414 |        0 |    false | Crunchy Scarab                      |      3 |        0.1 |                                                             |
| Atum 2                     | atum:date                                       |    5400 |        0 |    false | Date                                |      4 |        0.3 |                                                             |
| Atum 2                     | atum:emmer_bread                                |    5397 |        0 |    false | Emmer Bread                         |      4 |        0.9 | bread,foodBread                                             |
| Atum 2                     | atum:golden_date                                |    5402 |        0 |    false | Golden Date                         |      5 |        1.5 |                                                             |
| Atum 2                     | atum:golden_date_enchanted                      |    5403 |        0 |    false | Enchanted Golden Date               |      5 |        1.5 |                                                             |
| Avatar Addon Mod           | am:cactus_juice                                 |    5892 |        0 |    false | Cactus Juice                        |      6 |        2.4 |                                                             |
| Better Animals Plus        | betteranimalsplus:blubber                       |    8898 |        0 |    false | Blubber                             |      1 |        2.0 |                                                             |
| Better Animals Plus        | betteranimalsplus:crab_meat_cooked              |    8922 |        0 |    false | Cooked Crab Meat                    |      5 |        1.2 | listAllfishcooked                                           |
| Better Animals Plus        | betteranimalsplus:crab_meat_raw                 |    8921 |        0 |    false | Raw Crab Meat                       |      2 |        1.0 | listAllfishraw                                              |
| Better Animals Plus        | betteranimalsplus:eel_meat_cooked               |    8932 |        0 |    false | Cooked Eel Meat                     |      4 |        0.7 |                                                             |
| Better Animals Plus        | betteranimalsplus:eel_meat_raw                  |    8931 |        0 |    false | Raw Eel Meat                        |      1 |        0.0 |                                                             |
| Better Animals Plus        | betteranimalsplus:fried_egg                     |    8933 |        0 |    false | Fried Egg                           |      5 |        1.5 |                                                             |
| Better Animals Plus        | betteranimalsplus:goatcheese                    |    8900 |        0 |    false | Goat Cheese                         |      3 |        1.0 | foodCheese,foodGoatCheese                                   |
| Better Animals Plus        | betteranimalsplus:pheasantcooked                |    8902 |        0 |    false | Cooked Pheasant                     |      7 |        1.2 | listAllmeatcooked                                           |
| Better Animals Plus        | betteranimalsplus:pheasantraw                   |    8901 |        0 |    false | Raw Pheasant                        |      3 |        0.0 | listAllmeatraw                                              |
| Better Animals Plus        | betteranimalsplus:turkey_leg_cooked             |    8930 |        0 |    false | Cooked Turkey Leg                   |      4 |        1.2 | listAllmeatcooked                                           |
| Better Animals Plus        | betteranimalsplus:turkey_leg_raw                |    8929 |        0 |    false | Raw Turkey Leg                      |      2 |        0.0 | listAllmeatraw                                              |
| Better Animals Plus        | betteranimalsplus:venisoncooked                 |    8895 |        0 |    false | Cooked Venison                      |      8 |        1.2 | foodVenisoncooked,listAllmeatcooked,listAllvenisoncooked    |
| Better Animals Plus        | betteranimalsplus:venisonraw                    |    8894 |        0 |    false | Raw Venison                         |      4 |        0.0 | foodVenisonraw,listAllmeatraw,listAllvenisonraw             |
| Biomes O' Plenty           | biomesoplenty:berries                           |    4261 |        0 |    false | Berry                               |      1 |        0.1 |                                                             |
| Biomes O' Plenty           | biomesoplenty:filled_honeycomb                  |    4266 |        0 |    false | Filled Honeycomb                    |      3 |        0.4 | foodFilledhoneycomb                                         |
| Biomes O' Plenty           | biomesoplenty:peach                             |    4263 |        0 |    false | Peach                               |      5 |        0.2 | cropPeach,listAllfruit                                      |
| Biomes O' Plenty           | biomesoplenty:pear                              |    4262 |        0 |    false | Pear                                |      5 |        0.3 | cropPear,listAllfruit                                       |
| Biomes O' Plenty           | biomesoplenty:persimmon                         |    4264 |        0 |    false | Persimmon                           |      5 |        0.2 | cropPersimmon,listAllfruit                                  |
| Biomes O' Plenty           | biomesoplenty:ricebowl                          |    4268 |        0 |    false | Bowl of Rice                        |      2 |        0.6 | foodBowlofrice                                              |
| Biomes O' Plenty           | biomesoplenty:shroompowder                      |    4267 |        0 |    false | Shroom Powder                       |      1 |        0.1 | foodMushroompowder                                          |
| Ender IO                   | enderio:item_ender_food                         |    6063 |        0 |     true | "Enderios"                          |     10 |        0.8 |                                                             |
| Extra Planets              | extraplanets:apple_diamond                      |    7296 |        0 |     true | Diamond Apple                       |      8 |        2.2 |                                                             |
| Extra Planets              | extraplanets:apple_diamond                      |    7296 |        1 |     true | Diamond Apple                       |      8 |        2.2 |                                                             |
| Extra Planets              | extraplanets:apple_iron                         |    7297 |        0 |     true | Iron Apple                          |      4 |        2.2 |                                                             |
| Extra Planets              | extraplanets:apple_iron                         |    7297 |        1 |     true | Iron Apple                          |      4 |        2.2 |                                                             |
| Extra Planets              | extraplanets:caramel_bar                        |    7362 |        0 |    false | Caramel Bar                         |      1 |       0.25 |                                                             |
| Extra Planets              | extraplanets:chocolate_bar                      |    7361 |        0 |    false | Chocolate Bar                       |      1 |        0.3 |                                                             |
| Food Expansion             | foodexpansion:itembacon                         |    7458 |        0 |    false | Bacon                               |      1 |        0.2 |                                                             |
| Food Expansion             | foodexpansion:itembaconandegg                   |    7461 |        0 |    false | Bacon and Egg                       |      7 |        0.8 |                                                             |
| Food Expansion             | foodexpansion:itembatwing                       |    7474 |        0 |    false | Bat Wing                            |      1 |        0.1 |                                                             |
| Food Expansion             | foodexpansion:itembeetrootnoodles               |    7485 |        0 |    false | Beetroot Noodles                    |      6 |        0.6 |                                                             |
| Food Expansion             | foodexpansion:itemblazecream                    |    7476 |        0 |    false | Blaze Cream Soup                    |      4 |        0.4 |                                                             |
| Food Expansion             | foodexpansion:itemcactusfruit                   |    7469 |        0 |    false | Cactus Fruit                        |      1 |        0.1 |                                                             |
| Food Expansion             | foodexpansion:itemcarrotpie                     |    7473 |        0 |    false | Carrot Cake                         |      8 |        0.8 |                                                             |
| Food Expansion             | foodexpansion:itemcarrotseedsoup                |    7462 |        0 |    false | Carrot Soup                         |      8 |        0.8 |                                                             |
| Food Expansion             | foodexpansion:itemchocolatebar                  |    7466 |        0 |    false | Chocolate Bar                       |      8 |        1.0 |                                                             |
| Food Expansion             | foodexpansion:itemcompressedflesh               |    7465 |        0 |    false | Dried Flesh                         |      6 |        0.2 |                                                             |
| Food Expansion             | foodexpansion:itemcookedbacon                   |    7459 |        0 |    false | Crispy Bacon                        |      3 |        0.4 |                                                             |
| Food Expansion             | foodexpansion:itemcookedbatwing                 |    7475 |        0 |    false | Cooked Bat Wing                     |      3 |        0.2 |                                                             |
| Food Expansion             | foodexpansion:itemcookedhorsemeat               |    7471 |        0 |    false | Cooked Horse Meat                   |      8 |        0.8 |                                                             |
| Food Expansion             | foodexpansion:itemcookedllamameat               |    7489 |        0 |    false | Llama Steak                         |      7 |        0.8 |                                                             |
| Food Expansion             | foodexpansion:itemcookedmushroom                |    7472 |        0 |    false | Cooked Mushroom                     |      2 |        0.2 |                                                             |
| Food Expansion             | foodexpansion:itemcookedocelotmeat              |    7483 |        0 |    false | Cooked Ocelot Meat                  |      6 |        0.7 |                                                             |
| Food Expansion             | foodexpansion:itemcookedparrotmeat              |    7487 |        0 |    false | Cooked Parrot                       |      6 |        0.7 |                                                             |
| Food Expansion             | foodexpansion:itemcookedpolarbearmeat           |    7491 |        0 |    false | Polar Bear Steak                    |      8 |        0.8 |                                                             |
| Food Expansion             | foodexpansion:itemcookedsquid                   |    7464 |        0 |    false | Cooked Squid                        |      3 |        0.5 |                                                             |
| Food Expansion             | foodexpansion:itemcookedwolfmeat                |    7481 |        0 |    false | Cooked Wolf Meat                    |      6 |        0.7 |                                                             |
| Food Expansion             | foodexpansion:itemfriedegg                      |    7460 |        0 |    false | Fried Egg                           |      2 |        0.3 |                                                             |
| Food Expansion             | foodexpansion:itemhorsemeat                     |    7470 |        0 |    false | Horse Meat                          |      3 |        0.3 |                                                             |
| Food Expansion             | foodexpansion:itemjelly                         |    7457 |        0 |    false | Green Jelly                         |      4 |        0.6 |                                                             |
| Food Expansion             | foodexpansion:itemllamameat                     |    7488 |        0 |    false | Raw Llama                           |      2 |        0.3 |                                                             |
| Food Expansion             | foodexpansion:itemlollipop                      |    7484 |        0 |    false | Lollipop                            |      4 |        0.5 |                                                             |
| Food Expansion             | foodexpansion:itemmelonsalad                    |    7477 |        0 |    false | Melon Salad                         |      6 |        0.6 |                                                             |
| Food Expansion             | foodexpansion:itemnetherwartsoup                |    7468 |        0 |    false | Nether Wart Stew                    |      4 |        0.4 |                                                             |
| Food Expansion             | foodexpansion:itemocelotmeat                    |    7482 |        0 |    false | Ocelot Meat                         |      2 |        0.3 |                                                             |
| Food Expansion             | foodexpansion:itemparrotmeat                    |    7486 |        0 |    false | Raw Parrot                          |      2 |        0.3 |                                                             |
| Food Expansion             | foodexpansion:itempolarbearmeat                 |    7490 |        0 |    false | Raw Polar Bear                      |      3 |        0.3 |                                                             |
| Food Expansion             | foodexpansion:itemroastedseed                   |    7478 |        0 |    false | Roasted Seed                        |      1 |        0.1 |                                                             |
| Food Expansion             | foodexpansion:itemspidersoup                    |    7467 |        0 |    false | Spider Eye Stew                     |      3 |        0.4 |                                                             |
| Food Expansion             | foodexpansion:itemsquid                         |    7463 |        0 |    false | Raw Squid                           |      1 |        0.2 |                                                             |
| Food Expansion             | foodexpansion:itemwolfmeat                      |    7480 |        0 |    false | Wolf Meat                           |      2 |        0.3 |                                                             |
| Galacticraft Core          | galacticraftcore:cheese_curd                    |    6839 |        0 |    false | Cheese Curd                         |      1 |        0.1 | foodCheese                                                  |
| Galacticraft Core          | galacticraftcore:food                           |    6835 |        0 |     true | Can of Food                         |      8 |        0.3 |                                                             |
| Galacticraft Core          | galacticraftcore:food                           |    6835 |        1 |     true | Can of Food                         |      8 |        0.6 |                                                             |
| Galacticraft Core          | galacticraftcore:food                           |    6835 |        2 |     true | Can of Food                         |      4 |        0.3 |                                                             |
| Galacticraft Core          | galacticraftcore:food                           |    6835 |        3 |     true | Can of Food                         |      2 |        0.3 |                                                             |
| Galacticraft Core          | galacticraftcore:food                           |    6835 |        4 |     true | Cheese Slice                        |      2 |        0.1 |                                                             |
| Galacticraft Core          | galacticraftcore:food                           |    6835 |        5 |     true | Burger Bun                          |      4 |        0.8 |                                                             |
