+--------------------------------+--------------------------------------------------------------------+---------+----------+----------------------------------------------+-----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                                                                                                                                                                              |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                                                                                                                                                                                      |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                                                                                                                                                                                    |
| *** ALSO ***                                                                                                                                                                                                                                                                                                                                                 |
| The server doesn't have a list of sub block and sub items                                                                                                                                                                                                                                                                                                    |
| (= items with different damage value or blocks with different metadata).                                                                                                                                                                                                                                                                                     |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                                                                                                                                                                                    |
+--------------------------------+--------------------------------------------------------------------+---------+----------+----------------------------------------------+-----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------+
| Mod name                       | Registry name                                                      | Item ID | Meta/dmg |                                 Display name | Recipe name                                                                                                     | Ore Dict keys                                                    |
+--------------------------------+--------------------------------------------------------------------+---------+----------+----------------------------------------------+-----------------------------------------------------------------------------------------------------------------+------------------------------------------------------------------+
| AgriCraft                      | agricraft:clipper                                                  |    8959 |        0 |                                      Clipper | agricraft:clipper                                                                                               |                                                                  |
| AgriCraft                      | agricraft:crop_sticks                                              |    8954 |        0 |                                  Crop Sticks | agricraft:crop_sticks                                                                                           |                                                                  |
| AgriCraft                      | agricraft:grate                                                    |    8953 |        0 |                                 Wooden Grate | agricraft:grate                                                                                                 |                                                                  |
| AgriCraft                      | agricraft:journal                                                  |    8955 |        0 |                         Agricultural Journal | agricraft:journal                                                                                               |                                                                  |
| AgriCraft                      | agricraft:magnifying_glass                                         |    8963 |        0 |                             Magnifying Glass | agricraft:magnifying_glass                                                                                      |                                                                  |
| AgriCraft                      | agricraft:peripheral                                               |    8947 |        0 |            Computer Controlled Seed Analyzer | agricraft:seed_analyzer_computerized                                                                            |                                                                  |
| AgriCraft                      | agricraft:rake                                                     |    8958 |        0 |                             Wooden Hand Rake | agricraft:rake_wood                                                                                             |                                                                  |
| AgriCraft                      | agricraft:rake                                                     |    8958 |        1 |                               Iron Hand Rake | agricraft:rake_iron                                                                                             |                                                                  |
| AgriCraft                      | agricraft:seed_analyzer                                            |    8946 |        0 |                                Seed Analyzer | agricraft:seed_analyzer                                                                                         |                                                                  |
| AgriCraft                      | agricraft:sprinkler                                                |    8952 |        0 |                                    Sprinkler | agricraft:sprinkler                                                                                             |                                                                  |
| AgriCraft                      | agricraft:trowel                                                   |    8956 |        0 |                             Gardening Trowel | agricraft:trowel                                                                                                |                                                                  |
| AgriCraft                      | agricraft:water_channel_full                                       |    8950 |        0 |                    Wooden Irrigation Channel | agricraft:water_channel_full                                                                                    |                                                                  |
| AgriCraft                      | agricraft:water_channel_normal                                     |    8949 |        0 |                    Wooden Irrigation Channel | agricraft:water_channel                                                                                         |                                                                  |
| AgriCraft                      | agricraft:water_channel_normal                                     |    8949 |        0 |                    Wooden Irrigation Channel | agricraft:water_channel_full_inverse                                                                            |                                                                  |
| AgriCraft                      | agricraft:water_channel_valve                                      |    8951 |        0 |                         Wooden Channel Valve | agricraft:water_channel_valve                                                                                   |                                                                  |
| AgriCraft                      | agricraft:water_tank                                               |    8948 |        0 |                            Wooden Water Tank | agricraft:tank                                                                                                  |                                                                  |
| AgriCraft                      | minecraft:diamond                                                  |     264 |        0 |                                      Diamond | agricraft:combine_nugget_diamond                                                                                | gemDiamond                                                       |
| AgriCraft                      | minecraft:emerald                                                  |     388 |        0 |                                      Emerald | agricraft:combine_nugget_emerald                                                                                | gemEmerald                                                       |
| AgriCraft                      | minecraft:quartz                                                   |     406 |        0 |                                Nether Quartz | agricraft:combine_nugget_quartz                                                                                 | gemQuartz                                                        |
| Akashic Tome                   | akashictome:tome                                                   |    5416 |        0 |                                 Akashic Tome | akashictome:tome                                                                                                |                                                                  |
| Akashic Tome                   | akashictome:tome                                                   |    5416 |        0 |                                 Akashic Tome | akashictome:tome_1                                                                                              |                                                                  |
| Antique Atlas                  | antiqueatlas:empty_antique_atlas                                   |    5233 |        0 |                          Empty Antique Atlas | antiqueatlas:atlas_blank                                                                                        |                                                                  |
| Aquaculture                    | aquaculture:diamond_fishing_rod                                    |    4099 |        0 |                          Diamond Fishing Rod | aquaculture:diamond_fishing_rod                                                                                 |                                                                  |
| Aquaculture                    | aquaculture:fishing_rod                                            |    4096 |        0 |                           Wooden Fishing Rod | aquaculture:wooden_rod_from_vanilla_rod                                                                         |                                                                  |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        2 |                              Raw Whale Steak | aquaculture:whale_steak                                                                                         |                                                                  |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_1                                                                                             | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_10                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_11                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_12                                                                                            | listAllfishraw                                                   |
| Aquaculture                    | aquaculture:food                                                   |    4102 |        3 |                              Raw Fish Fillet | aquaculture:filet_13                                                                                            | listAllfishraw                                                   |
