+----------------------+----------------------------------------------+---------+----------+----------+--------------------------+------------+----------------------------------------------------+
| *** WARNING ***                                                                                                                                                                                  |
| The block and item IDs are dynamic and will be different on each world!                                                                                                                          |
| DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)                                                                                        |
| *** ALSO ***                                                                                                                                                                                     |
| The server doesn't have a list of sub block and sub items                                                                                                                                        |
| (= items with different damage value or blocks with different metadata).                                                                                                                         |
| That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.                                                                        |
+----------------------+----------------------------------------------+---------+----------+----------+--------------------------+------------+----------------------------------------------------+
| Mod name             | Registry name                                | Item ID | Meta/dmg | Subtypes | Display name             | Plant Type | Ore Dict keys                                      |
+----------------------+----------------------------------------------+---------+----------+----------+--------------------------+------------+----------------------------------------------------+
| Atum 2               | atum:anputs_fingers_spores                   |    5409 |        0 |    false | Anput's Fingers Spores   | Crop       | cropNetherWart                                     |
| Atum 2               | atum:emmer_seeds                             |    5393 |        0 |    false | Emmer Seeds              | Crop       | seed,seedEmmer                                     |
| Atum 2               | atum:flax_seeds                              |    5390 |        0 |    false | Flax Seeds               | Crop       | seed,seedFlax                                      |
| Growthcraft Grapes   | growthcraft_grapes:grape_seed                |    7834 |       10 |     true | Purple Grape Seeds       | Crop       |                                                    |
| Growthcraft Grapes   | growthcraft_grapes:grape_seed                |    7834 |       13 |     true | Green Grape Seeds        | Crop       |                                                    |
| Growthcraft Grapes   | growthcraft_grapes:grape_seed                |    7834 |       14 |     true | Red Grape Seeds          | Crop       |                                                    |
| Growthcraft Hops     | growthcraft_hops:hop_seeds                   |    7863 |        0 |    false | Hop Seeds                | Crop       |                                                    |
| Growthcraft Milk     | growthcraft_milk:thistle_seed                |    7867 |        0 |    false | Thistle                  | Crop       | listAllseed                                        |
| Growthcraft Rice     | growthcraft_rice:rice                        |    7860 |        0 |    false | Rice                     | Crop       | cropRice,listAllRice,seedRice                      |
| Minecraft            | minecraft:beetroot_seeds                     |     435 |        0 |    false | Beetroot Seeds           | Crop       | listAllseed,seed,seedBeet                          |
| Minecraft            | minecraft:carrot                             |     391 |        0 |    false | Carrot                   | Crop       | cropCarrot,listAllveggie                           |
| Minecraft            | minecraft:melon_seeds                        |     362 |        0 |    false | Melon Seeds              | Crop       | listAllseed,seed                                   |
| Minecraft            | minecraft:nether_wart                        |     372 |        0 |    false | Nether Wart              | Nether     | cropNetherWart                                     |
