+----------------------------------------------------+----------+-------------------------------------------+------------------------------------------------------------------+---------------------------------------------+
| Registry name                                      | Meta/dmg | Display name                              | Ore Dict Keys                                                    | NBT                                         |
+----------------------------------------------------+----------+-------------------------------------------+------------------------------------------------------------------+---------------------------------------------+
| agricraft:agri_nugget                              |        0 | Emerald Nugget                            | nuggetEmerald                                                    |                                             |
| agricraft:agri_nugget                              |        1 | Diamond Nugget                            | nuggetDiamond                                                    |                                             |
| agricraft:agri_nugget                              |        2 | Quartz Shard                              | nuggetQuartz                                                     |                                             |
| agricraft:agri_nugget                              |        3 | Iron Nugget                               | nuggetIron                                                       |                                             |
| agricraft:agri_nugget                              |        4 | Copper Nugget                             | nuggetCopper                                                     |                                             |
| agricraft:agri_nugget                              |        5 | Tin Nugget                                | nuggetTin                                                        |                                             |
| agricraft:agri_nugget                              |        6 | Lead Nugget                               | nuggetLead                                                       |                                             |
| agricraft:agri_nugget                              |        7 | Silver Nugget                             | nuggetSilver                                                     |                                             |
| agricraft:agri_nugget                              |        8 | Aluminum Nugget                           | nuggetAluminum                                                   |                                             |
| agricraft:agri_nugget                              |        9 | Nickel Nugget                             | nuggetNickel                                                     |                                             |
| agricraft:agri_nugget                              |       10 | Platinum Nugget                           | nuggetPlatinum                                                   |                                             |
| agricraft:agri_nugget                              |       11 | Osmium Nugget                             | nuggetOsmium                                                     |                                             |
| agricraft:agri_nugget                              |       12 | Unknown Fragment                          | nuggetUnknown                                                    |                                             |
| aquaculture:food                                   |        0 | Seaweed                                   | cropSeaweed                                                      |                                             |
| aquaculture:food                                   |        3 | Raw Fish Fillet                           | listAllfishraw                                                   |                                             |
| aquaculture:food                                   |        4 | Cooked Fish Fillet                        | listAllfishcooked                                                |                                             |
| atum:alabaster                                     |        0 | Alabaster                                 | stoneAlabaster                                                   |                                             |
| atum:alabaster_brick_polished                      |        0 | Polished Alabaster Brick                  | stoneAlabasterPolished                                           |                                             |
| atum:anputs_fingers_spores                         |        0 | Anput's Fingers Spores                    | cropNetherWart                                                   |                                             |
| atum:bone_ore                                      |        0 | Bone Ore                                  | oreBone                                                          |                                             |
| atum:coal_ore                                      |        0 | Coal Ore                                  | oreCoal                                                          |                                             |
| atum:crystal_black_stained_glass                   |        0 | Black Stained Crystal Glass               | blockGlass                                                       |                                             |
| atum:crystal_blue_stained_glass                    |        0 | Blue Stained Crystal Glass                | blockGlass                                                       |                                             |
| atum:crystal_brown_stained_glass                   |        0 | Brown Stained Crystal Glass               | blockGlass                                                       |                                             |
| atum:crystal_cyan_stained_glass                    |        0 | Cyan Stained Crystal Glass                | blockGlass                                                       |                                             |
| atum:crystal_glass                                 |        0 | Crystal Glass                             | blockGlass                                                       |                                             |
| atum:crystal_gray_stained_glass                    |        0 | Gray Stained Crystal Glass                | blockGlass                                                       |                                             |
| atum:crystal_green_stained_glass                   |        0 | Green Stained Crystal Glass               | blockGlass                                                       |                                             |
| atum:crystal_light_blue_stained_glass              |        0 | Light Blue Stained Crystal Glass          | blockGlass                                                       |                                             |
| atum:crystal_lime_stained_glass                    |        0 | Lime Stained Crystal Glass                | blockGlass                                                       |                                             |
| atum:crystal_magenta_stained_glass                 |        0 | Magenta Stained Crystal Glass             | blockGlass                                                       |                                             |
| atum:crystal_orange_stained_glass                  |        0 | Orange Stained Crystal Glass              | blockGlass                                                       |                                             |
| atum:crystal_pink_stained_glass                    |        0 | Pink Stained Crystal Glass                | blockGlass                                                       |                                             |
| atum:crystal_purple_stained_glass                  |        0 | Purple Stained Crystal Glass              | blockGlass                                                       |                                             |
| atum:crystal_red_stained_glass                     |        0 | Red Stained Crystal Glass                 | blockGlass                                                       |                                             |
| atum:crystal_silver_stained_glass                  |        0 | Silver Stained Crystal Glass              | blockGlass                                                       |                                             |
| atum:crystal_white_stained_glass                   |        0 | White Stained Crystal Glass               | blockGlass                                                       |                                             |
| atum:crystal_yellow_stained_glass                  |        0 | Yellow Stained Crystal Glass              | blockGlass                                                       |                                             |
| atum:deadwood_crate                                |        0 | Deadwood Crate                            | chest,chestWood,crate                                            |                                             |
| atum:deadwood_door                                 |        0 | Deadwood Door                             | doorWood                                                         |                                             |
| atum:deadwood_fence                                |        0 | Deadwood Fence                            | fenceWood                                                        |                                             |
| atum:deadwood_fence_gate                           |        0 | Deadwood Fence Gate                       | fenceGateWood                                                    |                                             |
| atum:deadwood_leaves                               |        0 | Deadwood Leaves                           | treeLeaves                                                       |                                             |
| atum:deadwood_log                                  |        0 | Deadwood Log                              | logDeadwood,logWood                                              |                                             |
| atum:deadwood_planks                               |        0 | Deadwood Planks                           | plankDeadwood,plankWood                                          |                                             |
| atum:deadwood_slab                                 |        0 | Deadwood Slab                             | slabWood                                                         |                                             |
| atum:deadwood_stairs                               |        0 | Deadwood Stairs                           | stairWood                                                        |                                             |
| atum:deadwood_stick                                |        0 | Deadwood Stick                            | stickWood                                                        |                                             |
| atum:diamond_ore                                   |        0 | Diamond Ore                               | oreDiamond                                                       |                                             |
| atum:dusty_bone                                    |        0 | Dusty Bone                                | bone                                                             |                                             |
| atum:dusty_bone_stick                              |        0 | Dusty Bone Stick                          | stickWood                                                        |                                             |
| atum:dye_black                                     |        0 | Black Dye                                 | dye,dyeBlack                                                     |                                             |
| atum:dye_brown                                     |        0 | Brown Dye                                 | dye,dyeBrown                                                     |                                             |
| atum:efreet_heart                                  |        0 | Efreet Heart                              | rodBlaze                                                         |                                             |
| atum:emerald_ore                                   |        0 | Emerald Ore                               | oreEmerald                                                       |                                             |
| atum:emmer                                         |        0 | Emmer                                     | cropEmmer                                                        |                                             |
| atum:emmer_bread                                   |        0 | Emmer Bread                               | bread,foodBread                                                  |                                             |
| atum:emmer_dough                                   |        0 | Emmer Dough                               | foodDough                                                        |                                             |
| atum:emmer_flour                                   |        0 | Emmer Flour                               | foodFlour                                                        |                                             |
| atum:emmer_seeds                                   |        0 | Emmer Seeds                               | seed,seedEmmer                                                   |                                             |
| atum:flax                                          |        0 | Flax                                      | cropFlax                                                         |                                             |
| atum:flax_seeds                                    |        0 | Flax Seeds                                | seed,seedFlax                                                    |                                             |
| atum:framed_black_stained_glass                    |        0 | Black Stained Framed Glass                | blockGlass                                                       |                                             |
