+------------------------------------+----------------------------------------------------+----------+-------------------------------------------+---------------------------------------------+
| OreDict Key                        | Registry name                                      | Meta/dmg | Display name                              | NBT                                         |
+------------------------------------+----------------------------------------------------+----------+-------------------------------------------+---------------------------------------------+
| alcoholBeachrum                    | brewcraft:beachrumitem                             |        0 | Beach Rum                                 |                                             |
| alcoholBlackholewhiskey            | brewcraft:blackholewhiskeyitem                     |        0 | Black Hole Whiskey                        |                                             |
| alcoholBluebeer                    | brewcraft:bluebeeritem                             |        0 | Blue Beer                                 |                                             |
| alcoholBorgiaabsinthe              | brewcraft:borgiaabsintheitem                       |        0 | Borgia Absinthe                           |                                             |
| alcoholCherryvodka                 | brewcraft:cherryvodkaitem                          |        0 | Cherry Vodka                              |                                             |
| alcoholCoconutrumm                 | brewcraft:coconutrumitem                           |        0 | Coconut Rum                               |                                             |
| alcoholGhostpepperabsinthe         | brewcraft:ghostpepperabsintheitem                  |        0 | Ghost Pepper Absinthe                     |                                             |
| alcoholGoldschlager                | brewcraft:goldschlageritem                         |        0 | Gold Schlager                             |                                             |
| alcoholHandmadevodkam              | brewcraft:handmadevodkaitem                        |        0 | Handmade Vodka                            |                                             |
| alcoholHardapplecider              | brewcraft:hardapplecideritem                       |        0 | Hard Apple Cider                          |                                             |
| alcoholHardlemonade                | brewcraft:hardlemonadeitem                         |        0 | Hard Lemonade                             |                                             |
| alcoholHoneymead                   | brewcraft:honeymeaditem                            |        0 | Honey Mead                                |                                             |
| alcoholMalort                      | brewcraft:malortitem                               |        0 | Mal§ko§rrt                                |                                             |
| alcoholPinkmoscato                 | brewcraft:pinkmoscatoitem                          |        0 | Pink Moscato                              |                                             |
| alcoholPmaxriesling                | brewcraft:pmaxrieslingitem                         |        0 | P Max Riesling                            |                                             |
| alcoholPointthreerye               | brewcraft:pointthreeryeitem                        |        0 | Point Three Rye                           |                                             |
| alcoholRedbeer                     | brewcraft:redbeeritem                              |        0 | Red Beer                                  |                                             |
| alcoholRennalgold                  | brewcraft:rennalgolditem                           |        0 | Rennal Gold                               |                                             |
| alcoholRiverchardonnay             | brewcraft:riverchardonnayitem                      |        0 | River Chardonnay                          |                                             |
| alcoholSake                        | brewcraft:sakeitem                                 |        0 | Sake                                      |                                             |
| alcoholSavannazinfandel            | brewcraft:savannazinfandelitem                     |        0 | Savanna Zinfandel                         |                                             |
| alcoholSpicedrum                   | brewcraft:spicedrumitem                            |        0 | Spiced Rum                                |                                             |
| alcoholSwampmerlot                 | brewcraft:swampmerlotitem                          |        0 | Swamp Merlot                              |                                             |
