+---------------------+----------------------------------+----------------------------------+----+-------------------------+--------+---------------+
| Mod name            | Registry name                    | Potion Name                      | ID | Liquid color            | Is bad | Is beneficial |
+---------------------+----------------------------------+----------------------------------+----+-------------------------+--------+---------------+
| Biomes O' Plenty    | biomesoplenty:curse              | potion.curse                     |  0 | 0x0004A5EA (    304618) |   true |         false |
| Ender Zoo           | enderzoo:enderzoo.floatingpotion | enderzoo.floatingpotion          | 60 | 0x00007C00 (     31744) |  false |         false |
| Growthcraft Cellar  | growthcraft_cellar:potion.tipsy  | potion.tipsy                     | 48 | 0x00000000 (         0) |  false |         false |
| Minecraft           | minecraft:absorption             | effect.absorption                | 22 | 0x002552A5 (   2445989) |  false |          true |
| Minecraft           | minecraft:blindness              | effect.blindness                 | 15 | 0x001F1F23 (   2039587) |   true |         false |
| Minecraft           | minecraft:fire_resistance        | effect.fireResistance            | 12 | 0x00E49A3A (  14981690) |  false |          true |
| Minecraft           | minecraft:glowing                | effect.glowing                   | 24 | 0x0094A061 (   9740385) |  false |         false |
| Minecraft           | minecraft:haste                  | effect.digSpeed                  |  3 | 0x00D9C043 (  14270531) |  false |          true |
| Minecraft           | minecraft:health_boost           | effect.healthBoost               | 21 | 0x00F87D23 (  16284963) |  false |          true |
| Minecraft           | minecraft:hunger                 | effect.hunger                    | 17 | 0x00587653 (   5797459) |   true |         false |
| Minecraft           | minecraft:instant_damage         | effect.harm                      |  7 | 0x00430A09 (   4393481) |   true |          true |
| Minecraft           | minecraft:instant_health         | effect.heal                      |  6 | 0x00F82423 (  16262179) |  false |          true |
| Minecraft           | minecraft:invisibility           | effect.invisibility              | 14 | 0x007F8392 (   8356754) |  false |          true |
| Minecraft           | minecraft:jump_boost             | effect.jump                      |  8 | 0x0022FF4C (   2293580) |  false |          true |
| Minecraft           | minecraft:levitation             | effect.levitation                | 25 | 0x00CEFFFF (  13565951) |   true |         false |
| Minecraft           | minecraft:luck                   | effect.luck                      | 26 | 0x00339900 (   3381504) |  false |          true |
| Minecraft           | minecraft:mining_fatigue         | effect.digSlowDown               |  4 | 0x004A4217 (   4866583) |   true |         false |
| Minecraft           | minecraft:nausea                 | effect.confusion                 |  9 | 0x00551D4A (   5578058) |   true |         false |
| Minecraft           | minecraft:night_vision           | effect.nightVision               | 16 | 0x001F1FA1 (   2039713) |  false |          true |
| Minecraft           | minecraft:poison                 | effect.poison                    | 19 | 0x004E9331 (   5149489) |   true |         false |
| Minecraft           | minecraft:regeneration           | effect.regeneration              | 10 | 0x00CD5CAB (  13458603) |  false |          true |
| Minecraft           | minecraft:resistance             | effect.resistance                | 11 | 0x0099453A (  10044730) |  false |          true |
| Minecraft           | minecraft:saturation             | effect.saturation                | 23 | 0x00F82423 (  16262179) |  false |          true |
| Minecraft           | minecraft:slowness               | effect.moveSlowdown              |  2 | 0x005A6C81 (   5926017) |   true |         false |
| Minecraft           | minecraft:speed                  | effect.moveSpeed                 |  1 | 0x007CAFC6 (   8171462) |  false |          true |
| Minecraft           | minecraft:strength               | effect.damageBoost               |  5 | 0x00932423 (   9643043) |  false |          true |
| Minecraft           | minecraft:unluck                 | effect.unluck                    | 27 | 0x00C0A44D (  12624973) |   true |         false |
| Minecraft           | minecraft:water_breathing        | effect.waterBreathing            | 13 | 0x002E5299 (   3035801) |  false |          true |
| Minecraft           | minecraft:weakness               | effect.weakness                  | 18 | 0x00484D48 (   4738376) |   true |         false |
| Minecraft           | minecraft:wither                 | effect.wither                    | 20 | 0x00352A27 (   3484199) |   true |         false |
| Mowzie's Mobs       | mowziesmobs:frozen               | potion.frozen                    | 51 | 0x00D8E7FF (  14215167) |  false |         false |
| Mowzie's Mobs       | mowziesmobs:geomancy             | potion.geomancy                  | 50 | 0x00CDFF78 (  13500280) |  false |         false |
| Mowzie's Mobs       | mowziesmobs:poison_resist        | potion.poisonResist              | 52 | 0x0066FF33 (   6750003) |  false |         false |
| Mowzie's Mobs       | mowziesmobs:suns_blessing        | potion.sunsBlessing              | 49 | 0x00FFDF42 (  16768834) |  false |         false |
| NetherEx            | netherex:crying                  | mob_effect.netherex:crying       | 56 | 0xFF673E7C ( -10011012) |   true |         false |
| NetherEx            | netherex:fire_burning            | mob_effect.netherex:fire_burning | 57 | 0xFF000000 ( -16777216) |   true |         false |
| NetherEx            | netherex:frostbitten             | mob_effect.netherex:frostbitten  | 54 | 0xFF13E2FF ( -15473921) |   true |         false |
| NetherEx            | netherex:frozen                  | mob_effect.netherex:frozen       | 53 | 0xFF5DBCD2 ( -10634030) |   true |         false |
| NetherEx            | netherex:infested                | mob_effect.netherex:infested     | 55 | 0xFF8E6028 (  -7446488) |   true |         false |
| NetherEx            | netherex:soul_sucked             | mob_effect.netherex:soul_sucked  | 58 | 0xFFBC5DC8 (  -4432440) |   true |         false |
| Quark               | quark:black                      | quark.potion.black.name          | 36 | 0x00303030 (   3158064) |   true |         false |
| Quark               | quark:blue                       | quark.potion.blue.name           | 35 | 0x000000FF (       255) |   true |         false |
| Quark               | quark:curse                      | quark.potion.curse.name          | 38 | 0x00000000 (         0) |   true |         false |
| Quark               | quark:danger_sight               | quark.potion.danger_sight.name   | 39 | 0x0008C8E3 (    575715) |  false |          true |
| Quark               | quark:white                      | quark.potion.white.name          | 37 | 0x00CCCCCC (  13421772) |   true |         false |
| Railcraft           | railcraft:creosote               | potion.railcraft.creosote        | 28 | 0x00CCA300 (  13411072) |  false |         false |
| TekTopia            | tektopia:village_bless           | effect.village_bless.name        | 59 | 0xFFFFFF00 (      -256) |  false |         false |
| The Twilight Forest | twilightforest:frosted           | twilightforest.effect.frosted    | 40 | 0x0056CBFD (   5688317) |   true |         false |
| Tinkers' Construct  | tconstruct:carry                 | potion.carry                     | 41 | 0x00FFFFFF (  16777215) |  false |         false |
