+----------------------------------------+----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Registry name                          | ID | Effects                                                                                                                                                                                |
+----------------------------------------+----+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| enderio:confusion                      | 58 | PotionEffect:{Potion:[reg:minecraft:nausea,name:effect.confusion,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                         |
| enderio:floating                       | 55 | PotionEffect:{Potion:[reg:minecraft:levitation,name:effect.levitation,isBad:true,isBeneficial:false],amplifier:0,duration:140,isSplashPotion:false,isAmbient:false}                    |
| enderio:long_confusion                 | 59 | PotionEffect:{Potion:[reg:minecraft:nausea,name:effect.confusion,isBad:true,isBeneficial:false],amplifier:0,duration:2400,isSplashPotion:false,isAmbient:false}                        |
| enderio:long_floating                  | 57 | PotionEffect:{Potion:[reg:minecraft:levitation,name:effect.levitation,isBad:true,isBeneficial:false],amplifier:0,duration:560,isSplashPotion:false,isAmbient:false}                    |
| enderio:long_withering                 | 61 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:2400,isSplashPotion:false,isAmbient:false}                           |
| enderio:strong_floating                | 56 | PotionEffect:{Potion:[reg:minecraft:levitation,name:effect.levitation,isBad:true,isBeneficial:false],amplifier:2,duration:140,isSplashPotion:false,isAmbient:false}                    |
| enderio:withering                      | 60 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                            |
| enderzoo:confusion                     | 71 | PotionEffect:{Potion:[reg:minecraft:nausea,name:effect.confusion,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                         |
| enderzoo:confusionlong                 | 72 | PotionEffect:{Potion:[reg:minecraft:nausea,name:effect.confusion,isBad:true,isBeneficial:false],amplifier:0,duration:2400,isSplashPotion:false,isAmbient:false}                        |
| enderzoo:floating                      | 73 | PotionEffect:{Potion:[reg:enderzoo:enderzoo.floatingpotion,name:enderzoo.floatingpotion,isBad:false,isBeneficial:false],amplifier:0,duration:70,isSplashPotion:false,isAmbient:false}  |
| enderzoo:floatinglong                  | 75 | PotionEffect:{Potion:[reg:enderzoo:enderzoo.floatingpotion,name:enderzoo.floatingpotion,isBad:false,isBeneficial:false],amplifier:1,duration:12,isSplashPotion:false,isAmbient:false}  |
| enderzoo:floatingtwo                   | 74 | PotionEffect:{Potion:[reg:enderzoo:enderzoo.floatingpotion,name:enderzoo.floatingpotion,isBad:false,isBeneficial:false],amplifier:0,duration:120,isSplashPotion:false,isAmbient:false} |
| enderzoo:withering                     | 69 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                            |
| enderzoo:witheringlong                 | 70 | PotionEffect:{Potion:[reg:minecraft:wither,name:effect.wither,isBad:true,isBeneficial:false],amplifier:0,duration:2400,isSplashPotion:false,isAmbient:false}                           |
| minecraft:awkward                      |  4 |                                                                                                                                                                                        |
| minecraft:empty                        |  0 |                                                                                                                                                                                        |
| minecraft:fire_resistance              | 12 | PotionEffect:{Potion:[reg:minecraft:fire_resistance,name:effect.fireResistance,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}          |
| minecraft:harming                      | 23 | PotionEffect:{Potion:[reg:minecraft:instant_damage,name:effect.harm,isBad:true,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                         |
| minecraft:healing                      | 21 | PotionEffect:{Potion:[reg:minecraft:instant_health,name:effect.heal,isBad:false,isBeneficial:true],amplifier:0,duration:1,isSplashPotion:false,isAmbient:false}                        |
| minecraft:invisibility                 |  7 | PotionEffect:{Potion:[reg:minecraft:invisibility,name:effect.invisibility,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}               |
| minecraft:leaping                      |  9 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.jump,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                         |
| minecraft:long_fire_resistance         | 13 | PotionEffect:{Potion:[reg:minecraft:fire_resistance,name:effect.fireResistance,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}          |
| minecraft:long_invisibility            |  8 | PotionEffect:{Potion:[reg:minecraft:invisibility,name:effect.invisibility,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}               |
| minecraft:long_leaping                 | 10 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.jump,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                         |
| minecraft:long_night_vision            |  6 | PotionEffect:{Potion:[reg:minecraft:night_vision,name:effect.nightVision,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                |
| minecraft:long_poison                  | 26 | PotionEffect:{Potion:[reg:minecraft:poison,name:effect.poison,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                           |
| minecraft:long_regeneration            | 29 | PotionEffect:{Potion:[reg:minecraft:regeneration,name:effect.regeneration,isBad:false,isBeneficial:true],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}               |
| minecraft:long_slowness                | 18 | PotionEffect:{Potion:[reg:minecraft:slowness,name:effect.moveSlowdown,isBad:true,isBeneficial:false],amplifier:0,duration:4800,isSplashPotion:false,isAmbient:false}                   |
| minecraft:long_strength                | 32 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.damageBoost,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                    |
| minecraft:long_swiftness               | 15 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.moveSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}                         |
| minecraft:long_water_breathing         | 20 | PotionEffect:{Potion:[reg:minecraft:water_breathing,name:effect.waterBreathing,isBad:false,isBeneficial:true],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}          |
| minecraft:long_weakness                | 35 | PotionEffect:{Potion:[reg:minecraft:weakness,name:effect.weakness,isBad:true,isBeneficial:false],amplifier:0,duration:4800,isSplashPotion:false,isAmbient:false}                       |
| minecraft:luck                         | 36 | PotionEffect:{Potion:[reg:minecraft:luck,name:effect.luck,isBad:false,isBeneficial:true],amplifier:0,duration:6000,isSplashPotion:false,isAmbient:false}                               |
| minecraft:mundane                      |  2 |                                                                                                                                                                                        |
| minecraft:night_vision                 |  5 | PotionEffect:{Potion:[reg:minecraft:night_vision,name:effect.nightVision,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                |
| minecraft:poison                       | 25 | PotionEffect:{Potion:[reg:minecraft:poison,name:effect.poison,isBad:true,isBeneficial:false],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                            |
| minecraft:regeneration                 | 28 | PotionEffect:{Potion:[reg:minecraft:regeneration,name:effect.regeneration,isBad:false,isBeneficial:true],amplifier:0,duration:900,isSplashPotion:false,isAmbient:false}                |
| minecraft:slowness                     | 17 | PotionEffect:{Potion:[reg:minecraft:slowness,name:effect.moveSlowdown,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                   |
| minecraft:strength                     | 31 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.damageBoost,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                    |
| minecraft:strong_harming               | 24 | PotionEffect:{Potion:[reg:minecraft:instant_damage,name:effect.harm,isBad:true,isBeneficial:true],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                         |
| minecraft:strong_healing               | 22 | PotionEffect:{Potion:[reg:minecraft:instant_health,name:effect.heal,isBad:false,isBeneficial:true],amplifier:1,duration:1,isSplashPotion:false,isAmbient:false}                        |
| minecraft:strong_leaping               | 11 | PotionEffect:{Potion:[reg:minecraft:jump_boost,name:effect.jump,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                         |
| minecraft:strong_poison                | 27 | PotionEffect:{Potion:[reg:minecraft:poison,name:effect.poison,isBad:true,isBeneficial:false],amplifier:1,duration:432,isSplashPotion:false,isAmbient:false}                            |
| minecraft:strong_regeneration          | 30 | PotionEffect:{Potion:[reg:minecraft:regeneration,name:effect.regeneration,isBad:false,isBeneficial:true],amplifier:1,duration:450,isSplashPotion:false,isAmbient:false}                |
| minecraft:strong_strength              | 33 | PotionEffect:{Potion:[reg:minecraft:strength,name:effect.damageBoost,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                    |
| minecraft:strong_swiftness             | 16 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.moveSpeed,isBad:false,isBeneficial:true],amplifier:1,duration:1800,isSplashPotion:false,isAmbient:false}                         |
| minecraft:swiftness                    | 14 | PotionEffect:{Potion:[reg:minecraft:speed,name:effect.moveSpeed,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}                         |
| minecraft:thick                        |  3 |                                                                                                                                                                                        |
| minecraft:water                        |  1 |                                                                                                                                                                                        |
| minecraft:water_breathing              | 19 | PotionEffect:{Potion:[reg:minecraft:water_breathing,name:effect.waterBreathing,isBad:false,isBeneficial:true],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}          |
| minecraft:weakness                     | 34 | PotionEffect:{Potion:[reg:minecraft:weakness,name:effect.weakness,isBad:true,isBeneficial:false],amplifier:0,duration:1800,isSplashPotion:false,isAmbient:false}                       |
| mowziesmobs:long_poison_resist         | 63 | PotionEffect:{Potion:[reg:mowziesmobs:poison_resist,name:potion.poisonResist,isBad:false,isBeneficial:false],amplifier:0,duration:9600,isSplashPotion:false,isAmbient:false}           |
| mowziesmobs:poison_resist              | 62 | PotionEffect:{Potion:[reg:mowziesmobs:poison_resist,name:potion.poisonResist,isBad:false,isBeneficial:false],amplifier:0,duration:3600,isSplashPotion:false,isAmbient:false}           |
| netherex:dispersal                     | 66 | PotionEffect:{Potion:[reg:netherex:infested,name:mob_effect.netherex:infested,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}            |
| netherex:freezing                      | 64 | PotionEffect:{Potion:[reg:netherex:frozen,name:mob_effect.netherex:frozen,isBad:true,isBeneficial:false],amplifier:0,duration:600,isSplashPotion:false,isAmbient:false}                |
