+-----------------------------------------------------+-----+
| Registry name                                       |  ID |
+-----------------------------------------------------+-----+
| betteranimalsplus:crabrave                          | 972 |
| betteranimalsplus:entity_goose_ambient              | 976 |
| betteranimalsplus:entity_goose_death                | 975 |
| betteranimalsplus:entity_goose_hurt                 | 973 |
| betteranimalsplus:record_walrus                     | 974 |
| biomesoplenty:entity.biomesoplenty.wasp.ambient     | 549 |
| biomesoplenty:entity.biomesoplenty.wasp.hurt        | 550 |
| biomesoplenty:records.wanderer                      | 551 |
| cfm:bin_close                                       | 697 |
| cfm:bin_open                                        | 696 |
| cfm:blender                                         | 704 |
| cfm:boing                                           | 717 |
| cfm:bounce                                          | 722 |
| cfm:cabinet_close                                   | 700 |
| cfm:cabinet_open                                    | 699 |
| cfm:channel_cooking                                 | 713 |
| cfm:channel_heman                                   | 715 |
| cfm:channel_news                                    | 712 |
| cfm:channel_sam_tabor                               | 714 |
| cfm:channel_switch                                  | 716 |
| cfm:dishwasher                                      | 705 |
| cfm:door_bell                                       | 690 |
| cfm:fart_1                                          | 701 |
| cfm:fart_2                                          | 702 |
| cfm:fart_3                                          | 703 |
| cfm:fire_alarm                                      | 691 |
| cfm:flush                                           | 694 |
| cfm:knife_chop                                      | 706 |
| cfm:light_switch                                    | 719 |
| cfm:microwave_finish                                | 708 |
| cfm:microwave_running                               | 707 |
| cfm:shower                                          | 695 |
| cfm:sizzle                                          | 718 |
| cfm:sliding_door_close                              | 721 |
| cfm:sliding_door_open                               | 720 |
| cfm:tap                                             | 698 |
| cfm:toaster_down                                    | 709 |
| cfm:toaster_up                                      | 710 |
| cfm:washing_machine                                 | 711 |
| cfm:white_noise                                     | 692 |
| cfm:zap                                             | 693 |
| chisel:dirt_chisel                                  | 559 |
| chisel:fallback                                     | 557 |
| chisel:metal_break                                  | 552 |
| chisel:metal_fall                                   | 553 |
| chisel:metal_hit                                    | 554 |
| chisel:metal_place                                  | 555 |
| chisel:metal_step                                   | 556 |
| chisel:wood_chisel                                  | 558 |
| cookingforblockheads:fridge_close                   | 594 |
| cookingforblockheads:fridge_open                    | 593 |
| cookingforblockheads:oven_close                     | 596 |
| cookingforblockheads:oven_open                      | 595 |
| cookingforblockheads:toaster_start                  | 597 |
| cookingforblockheads:toaster_stop                   | 598 |
| enderio:ds.jump                                     | 602 |
| enderio:ds.nightvision.off                          | 601 |
| enderio:ds.nightvision.on                           | 600 |
| enderio:generator.zombie.bubble                     | 599 |
| enderio:tab.switch                                  | 604 |
| enderio:telepad.teleport                            | 603 |
| enderzoo:owl.hootdouble                             | 980 |
| enderzoo:owl.hootsingle                             | 979 |
| enderzoo:owl.hurt                                   | 981 |
| galacticraftcore:ambience.scaryscape                | 684 |
| galacticraftcore:ambience.singledrip                | 683 |
| galacticraftcore:block.deconstructor                | 686 |
| galacticraftcore:entity.astrominer                  | 678 |
| galacticraftcore:entity.bossdeath                   | 673 |
| galacticraftcore:entity.bosslaugh                   | 674 |
| galacticraftcore:entity.ooh                         | 675 |
| galacticraftcore:entity.ouch                        | 676 |
| galacticraftcore:entity.slime_death                 | 677 |
| galacticraftcore:galacticraft.music_space           | 685 |
| galacticraftcore:laser.charge                       | 688 |
| galacticraftcore:laser.shoot                        | 689 |
| galacticraftcore:player.closeairlock                | 682 |
| galacticraftcore:player.openairlock                 | 681 |
| galacticraftcore:player.parachute                   | 680 |
| galacticraftcore:player.unlockchest                 | 687 |
| galacticraftcore:shuttle.shuttle                    | 679 |
| ironbackpacks:close_backpack                        | 733 |
| ironbackpacks:open_backpack                         | 732 |
| mekanism:etc.beep                                   | 723 |
| mekanism:etc.cj                                     | 731 |
| mekanism:etc.click                                  | 724 |
| mekanism:etc.ding                                   | 725 |
| mekanism:etc.error                                  | 726 |
| mekanism:etc.gasmask                                | 727 |
| mekanism:etc.hydraulic                              | 728 |
| mekanism:etc.pop                                    | 729 |
| mekanism:etc.success                                | 730 |
| minecraft:ambient.cave                              |   0 |
| minecraft:block.anvil.break                         |   1 |
| minecraft:block.anvil.destroy                       |   2 |
| minecraft:block.anvil.fall                          |   3 |
| minecraft:block.anvil.hit                           |   4 |
| minecraft:block.anvil.land                          |   5 |
| minecraft:block.anvil.place                         |   6 |
| minecraft:block.anvil.step                          |   7 |
| minecraft:block.anvil.use                           |   8 |
| minecraft:block.brewing_stand.brew                  |   9 |
| minecraft:block.chest.close                         |  10 |
| minecraft:block.chest.locked                        |  11 |
| minecraft:block.chest.open                          |  12 |
| minecraft:block.chorus_flower.death                 |  13 |
| minecraft:block.chorus_flower.grow                  |  14 |
| minecraft:block.cloth.break                         |  15 |
| minecraft:block.cloth.fall                          |  16 |
| minecraft:block.cloth.hit                           |  17 |
| minecraft:block.cloth.place                         |  18 |
| minecraft:block.cloth.step                          |  19 |
| minecraft:block.comparator.click                    |  20 |
| minecraft:block.dispenser.dispense                  |  21 |
| minecraft:block.dispenser.fail                      |  22 |
| minecraft:block.dispenser.launch                    |  23 |
| minecraft:block.enchantment_table.use               |  24 |
| minecraft:block.end_gateway.spawn                   |  25 |
| minecraft:block.end_portal.spawn                    |  26 |
| minecraft:block.end_portal_frame.fill               |  27 |
| minecraft:block.enderchest.close                    |  28 |
| minecraft:block.enderchest.open                     |  29 |
| minecraft:block.fence_gate.close                    |  30 |
| minecraft:block.fence_gate.open                     |  31 |
| minecraft:block.fire.ambient                        |  32 |
| minecraft:block.fire.extinguish                     |  33 |
| minecraft:block.furnace.fire_crackle                |  34 |
| minecraft:block.glass.break                         |  35 |
| minecraft:block.glass.fall                          |  36 |
| minecraft:block.glass.hit                           |  37 |
| minecraft:block.glass.place                         |  38 |
| minecraft:block.glass.step                          |  39 |
| minecraft:block.grass.break                         |  40 |
| minecraft:block.grass.fall                          |  41 |
| minecraft:block.grass.hit                           |  42 |
| minecraft:block.grass.place                         |  43 |
| minecraft:block.grass.step                          |  44 |
| minecraft:block.gravel.break                        |  45 |
| minecraft:block.gravel.fall                         |  46 |
| minecraft:block.gravel.hit                          |  47 |
| minecraft:block.gravel.place                        |  48 |
| minecraft:block.gravel.step                         |  49 |
| minecraft:block.iron_door.close                     |  50 |
| minecraft:block.iron_door.open                      |  51 |
| minecraft:block.iron_trapdoor.close                 |  52 |
| minecraft:block.iron_trapdoor.open                  |  53 |
| minecraft:block.ladder.break                        |  54 |
| minecraft:block.ladder.fall                         |  55 |
| minecraft:block.ladder.hit                          |  56 |
| minecraft:block.ladder.place                        |  57 |
| minecraft:block.ladder.step                         |  58 |
| minecraft:block.lava.ambient                        |  59 |
| minecraft:block.lava.extinguish                     |  60 |
| minecraft:block.lava.pop                            |  61 |
| minecraft:block.lever.click                         |  62 |
| minecraft:block.metal.break                         |  63 |
| minecraft:block.metal.fall                          |  64 |
| minecraft:block.metal.hit                           |  65 |
| minecraft:block.metal.place                         |  66 |
| minecraft:block.metal.step                          |  67 |
| minecraft:block.metal_pressureplate.click_off       |  68 |
| minecraft:block.metal_pressureplate.click_on        |  69 |
| minecraft:block.note.basedrum                       |  70 |
| minecraft:block.note.bass                           |  71 |
| minecraft:block.note.bell                           |  72 |
| minecraft:block.note.chime                          |  73 |
| minecraft:block.note.flute                          |  74 |
| minecraft:block.note.guitar                         |  75 |
| minecraft:block.note.harp                           |  76 |
| minecraft:block.note.hat                            |  77 |
| minecraft:block.note.pling                          |  78 |
| minecraft:block.note.snare                          |  79 |
| minecraft:block.note.xylophone                      |  80 |
| minecraft:block.piston.contract                     |  81 |
| minecraft:block.piston.extend                       |  82 |
| minecraft:block.portal.ambient                      |  83 |
| minecraft:block.portal.travel                       |  84 |
| minecraft:block.portal.trigger                      |  85 |
| minecraft:block.redstone_torch.burnout              |  86 |
| minecraft:block.sand.break                          |  87 |
| minecraft:block.sand.fall                           |  88 |
| minecraft:block.sand.hit                            |  89 |
| minecraft:block.sand.place                          |  90 |
| minecraft:block.sand.step                           |  91 |
| minecraft:block.shulker_box.close                   |  92 |
| minecraft:block.shulker_box.open                    |  93 |
| minecraft:block.slime.break                         |  94 |
| minecraft:block.slime.fall                          |  95 |
| minecraft:block.slime.hit                           |  96 |
| minecraft:block.slime.place                         |  97 |
