+---------------------------------------------------------------------------------------------------------+-------------------------------------------------------+----------+
| Class                                                                                                   | Registry name                                         | Ticking? |
+---------------------------------------------------------------------------------------------------------+-------------------------------------------------------+----------+
| codechicken.enderstorage.tile.TileEnderChest                                                            | minecraft:ender chest                                 |      yes |
| codechicken.enderstorage.tile.TileEnderTank                                                             | minecraft:ender tank                                  |      yes |
| codechicken.multipart.handler.MultipartSaveLoad$TileNBTContainer                                        | ccmp:saved_multipart                                  |      yes |
| com.blakebr0.mysticalagriculture.tileentity.TileEntitySeedReprocessor                                   | minecraft:ma_seed_reprocessor                         |      yes |
| com.blakebr0.mysticalagriculture.tileentity.TileEntityTinkeringTable                                    | minecraft:ma.tinkering_table                          |        - |
| com.blakebr0.mysticalagriculture.tileentity.reprocessor.TileInferiumReprocessor                         | mysticalagriculture:inferium_reprocessor              |      yes |
| com.blakebr0.mysticalagriculture.tileentity.reprocessor.TileIntermediumReprocessor                      | mysticalagriculture:intermedium_reprocessor           |      yes |
| com.blakebr0.mysticalagriculture.tileentity.reprocessor.TilePrudentiumReprocessor                       | mysticalagriculture:prudentium_reprocessor            |      yes |
| com.blakebr0.mysticalagriculture.tileentity.reprocessor.TileSuperiumReprocessor                         | mysticalagriculture:superium_reprocessor              |      yes |
| com.blakebr0.mysticalagriculture.tileentity.reprocessor.TileSupremiumReprocessor                        | mysticalagriculture:supremium_reprocessor             |      yes |
| com.blakebr0.mysticalagriculture.tileentity.reprocessor.TileUltimateReprocessor                         | mysticalagriculture:ultimate_reprocessor              |      yes |
| com.infinityraider.agricraft.tiles.TileEntityCrop                                                       | agricraft:tile.crop                                   |        - |
| com.infinityraider.agricraft.tiles.TileEntityPeripheral                                                 | agricraft:tile.peripheral                             |      yes |
| com.infinityraider.agricraft.tiles.analyzer.TileEntitySeedAnalyzer                                      | agricraft:tile.seed_analyzer                          |      yes |
| com.infinityraider.agricraft.tiles.decoration.TileEntityGrate                                           | agricraft:tile.grate                                  |        - |
| com.infinityraider.agricraft.tiles.irrigation.TileEntityChannel                                         | agricraft:tile.water_channel_normal                   |      yes |
| com.infinityraider.agricraft.tiles.irrigation.TileEntityChannelFull                                     | agricraft:tile.water_channel_full                     |      yes |
| com.infinityraider.agricraft.tiles.irrigation.TileEntityChannelValve                                    | agricraft:tile.water_channel_valve                    |      yes |
| com.infinityraider.agricraft.tiles.irrigation.TileEntitySprinkler                                       | agricraft:tile.sprinkler                              |      yes |
| com.infinityraider.agricraft.tiles.irrigation.TileEntityTank                                            | agricraft:tile.water_tank                             |      yes |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityController                                   | storagedrawers:controller                             |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersComp                                  | storagedrawers:compdrawers                            |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersStandard$Legacy                       | storagedrawers:basicdrawers                           |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersStandard$Slot1                        | storagedrawers:basicdrawers.1                         |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersStandard$Slot2                        | storagedrawers:basicdrawers.2                         |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersStandard$Slot4                        | storagedrawers:basicdrawers.4                         |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityFramingTable                                 | storagedrawers:framingtable                           |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityKeyButton                                    | storagedrawers:keybutton                              |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntitySlave                                        | storagedrawers:controllerslave                        |        - |
| com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityTrim                                         | storagedrawers:trim                                   |        - |
| com.mjr.extraplanets.tileEntities.blocks.TileEntityBasicDecontaminationUnitFake                         | minecraft:extraplanetsbasic decontamination unit fake |      yes |
| com.mjr.extraplanets.tileEntities.blocks.TileEntityPoweredChargingPad                                   | minecraft:powered charging pad full                   |      yes |
| com.mjr.extraplanets.tileEntities.blocks.TileEntityPoweredChargingPadSingle                             | minecraft:powered charging pad                        |      yes |
| com.mjr.extraplanets.tileEntities.blocks.TileEntityRocketChargingPad                                    | minecraft:rocket charging pad full                    |      yes |
| com.mjr.extraplanets.tileEntities.blocks.TileEntityRocketChargingPadSingle                              | minecraft:rocket charging pad                         |      yes |
| com.mjr.extraplanets.tileEntities.blocks.TileEntityTier2LandingPad                                      | minecraft:tier 2 landing pad full                     |      yes |
| com.mjr.extraplanets.tileEntities.blocks.TileEntityTier2LandingPadSingle                                | minecraft:tier 2 landing pad                          |      yes |
| com.mjr.extraplanets.tileEntities.blocks.TileEntityTier3LandingPad                                      | minecraft:tier 3 landing pad full                     |      yes |
| com.mjr.extraplanets.tileEntities.blocks.TileEntityTier3LandingPadSingle                                | minecraft:tier 3 landing pad                          |      yes |
| com.mjr.extraplanets.tileEntities.dungeonSpawners.TileEntityDungeonSpawnerEris                          | minecraft:extraplanetseris dungeon spawner            |      yes |
| com.mjr.extraplanets.tileEntities.dungeonSpawners.TileEntityDungeonSpawnerJupiter                       | minecraft:extraplanetsjuptier dungeon spawner         |      yes |
| com.mjr.extraplanets.tileEntities.dungeonSpawners.TileEntityDungeonSpawnerMercury                       | minecraft:extraplanetsmercury dungeon spawner         |      yes |
| com.mjr.extraplanets.tileEntities.dungeonSpawners.TileEntityDungeonSpawnerNeptune                       | minecraft:extraplanetsneptune dungeon spawner         |      yes |
| com.mjr.extraplanets.tileEntities.dungeonSpawners.TileEntityDungeonSpawnerPluto                         | minecraft:extraplanetspluto dungeon spawner           |      yes |
| com.mjr.extraplanets.tileEntities.dungeonSpawners.TileEntityDungeonSpawnerSaturn                        | minecraft:extraplanetssaturn dungeon spawner          |      yes |
| com.mjr.extraplanets.tileEntities.dungeonSpawners.TileEntityDungeonSpawnerUranus                        | minecraft:extraplanetsuranus dungeon spawner          |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityAdvancedFuelLoader                                 | minecraft:extraplanetsadvancedfuelloader              |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityAdvancedOxygenCompressor                           | minecraft:extraplanetsadvanced oxygen compressor      |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityAdvancedOxygenDecompressor                         | minecraft:extraplanetsadvanced oxygen decompressor    |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityAdvancedRefinery                                   | minecraft:extraplanetsadvancedrefinery                |      yes |
| com.mjr.extraplanets.tileEntities.machines.TileEntityBasicChemicalInjector                              | minecraft:extraplanetsbasic chemical injector         |      yes |
