+----------------------------------+---------------------------------------+------------------+------------+----------------------------+
| Registry name                    | Career                                | Buy 1            | Buy 2      | Sell                       |
+----------------------------------+---------------------------------------+------------------+------------+----------------------------+
| vtt:tinkerer                     | tinkerer                              |                  |            |                            |
| vtt:redstoner                    | redstoner                             |                  |            |                            |
|                                  |                                       | Oak Wood Planks  |            | Emerald                    |
|                                  |                                       | Stone            |            | Emerald                    |
|                                  |                                       | Emerald          |            | Button                     |
|                                  |                                       | Emerald          |            | Lever                      |
|                                  |                                       | Emerald          |            | Oak Pressure Plate         |
|                                  |                                       | Emerald          |            | Tripwire Hook              |
|                                  |                                       | Nether Quartz    |            | Emerald                    |
|                                  |                                       | Emerald          |            | Redstone Repeater          |
|                                  |                                       | Emerald          |            | Redstone Comparator        |
|                                  |                                       | Emerald          |            | Daylight Sensor            |
| primitivemobs:merchant           | primitivemobs.traveling_merchant      |                  |            |                            |
|                                  |                                       | Steak            |            | Emerald                    |
|                                  |                                       | Emerald          |            | Melon Seeds                |
|                                  |                                       | Emerald          |            | Melon Seeds                |
|                                  |                                       | Emerald          |            | Clay                       |
|                                  |                                       | Emerald          |            | Rabbit's Foot              |
|                                  |                                       | Emerald          |            | Uncraftable Tipped Arrow   |
|                                  |                                       | Emerald          |            | Diamond                    |
| primitivemobs:fakemerchant       | primitivemobs.fake_traveling_merchant |                  |            |                            |
|                                  |                                       | Carrot           |            | Emerald                    |
|                                  |                                       | Bread            |            | Emerald                    |
|                                  |                                       | Apple            |            | Emerald                    |
|                                  |                                       | Steak            |            | Emerald                    |
|                                  |                                       | Cooked Chicken   |            | Emerald                    |
|                                  |                                       | Cooked Fish      |            | Emerald                    |
|                                  |                                       | Cooked Porkchop  |            | Emerald                    |
|                                  |                                       | Cooked Rabbit    |            | Emerald                    |
|                                  |                                       | Emerald          |            | Pumpkin Seeds              |
|                                  |                                       | Emerald          |            | Melon Seeds                |
|                                  |                                       | Emerald          |            | Gold Ingot                 |
|                                  |                                       | Emerald          |            | Arrow                      |
|                                  |                                       | Emerald          |            | Slimeball                  |
|                                  |                                       | Emerald          |            | Cocoa Beans                |
|                                  |                                       | Emerald          |            | Beetroot                   |
|                                  |                                       | Emerald          |            | Paper                      |
|                                  |                                       | Emerald          |            | Flint                      |
|                                  |                                       | Emerald          |            | Snowball                   |
|                                  |                                       | Emerald          |            | Bone                       |
|                                  |                                       | Emerald          |            | Fire Charge                |
|                                  |                                       | Emerald          |            | Iron Ingot                 |
|                                  |                                       | Emerald          |            | Arrow                      |
|                                  |                                       | Emerald          |            | String                     |
|                                  |                                       | Emerald          |            | Clay                       |
|                                  |                                       | Emerald          |            | Rabbit's Foot              |
|                                  |                                       | Emerald          |            | Redstone                   |
|                                  |                                       | Emerald          |            | Blaze Powder               |
|                                  |                                       | Emerald          |            | Book                       |
|                                  |                                       | Emerald          |            | Ender Pearl                |
|                                  |                                       | Emerald          |            | Bottle o' Enchanting       |
|                                  |                                       | Emerald          |            | Diamond                    |
|                                  |                                       | Emerald          |            | Ghast Tear                 |
|                                  |                                       | Emerald          |            | Prismarine Crystals        |
|                                  |                                       | Emerald          |            | Name Tag                   |
|                                  |                                       | Emerald          |            | Uncraftable Tipped Arrow   |
|                                  |                                       | Emerald          |            | Saddle                     |
|                                  |                                       | Emerald          |            | Chorus Fruit               |
|                                  |                                       | Emerald          |            | Golden Apple               |
| primitivemobs:sheepman_scavenger | primitivemobs.sheepman_scavenger      |                  |            |                            |
|                                  |                                       | Gold Ingot       |            | Nether Brick               |
|                                  |                                       | Gold Ingot       |            | Flint                      |
|                                  |                                       | Gold Ingot       |            | Stick                      |
|                                  |                                       | Gold Ingot       |            | Flint and Steel            |
|                                  |                                       | Gold Ingot       |            | Nether Quartz              |
|                                  |                                       | Gold Ingot       |            | Obsidian                   |
| minecraft:librarian              | librarian                             |                  |            |                            |
|                                  |                                       | Paper            |            | Emerald                    |
|                                  |                                       | Book             | Emerald    | Enchanted Book             |
|                                  |                                       | Book             |            | Emerald                    |
|                                  |                                       | Emerald          |            | Compass                    |
|                                  |                                       | Emerald          |            | Oak Bookshelf              |
|                                  |                                       | Written Book     |            | Emerald                    |
|                                  |                                       | Emerald          |            | Clock                      |
|                                  |                                       | Emerald          |            | Glass                      |
|                                  |                                       | Book             | Emerald    | Enchanted Book             |
|                                  |                                       | Book             | Emerald    | Enchanted Book             |
|                                  |                                       | Emerald          |            | Name Tag                   |
|                                  |                                       | ?                | ?          | [Exception. Treasure map?] |
|                                  |                                       | ?                | ?          | [Exception. Treasure map?] |
|                                  |                                       | ?                | ?          | [Exception. Treasure map?] |
|                                  |                                       | ?                | ?          | [Exception. Treasure map?] |
|                                  |                                       | ?                | ?          | [Exception. Treasure map?] |
|                                  |                                       | ?                | ?          | [Exception. Treasure map?] |
| minecraft:librarian              | cartographer                          |                  |            |                            |
|                                  |                                       | Paper            |            | Emerald                    |
|                                  |                                       | Compass          |            | Emerald                    |
|                                  |                                       | Emerald          |            | Empty Map                  |
| minecraft:butcher                | butcher                               |                  |            |                            |
|                                  |                                       | Raw Porkchop     |            | Emerald                    |
|                                  |                                       | Raw Chicken      |            | Emerald                    |
|                                  |                                       | Raw Beef         |            | Emerald                    |
|                                  |                                       | Raw Mutton       |            | Emerald                    |
|                                  |                                       | Raw Rabbit       |            | Emerald                    |
|                                  |                                       | Coal             |            | Emerald                    |
|                                  |                                       | Emerald          |            | Cooked Porkchop            |
|                                  |                                       | Emerald          |            | Cooked Chicken             |
|                                  |                                       | Emerald          |            | Steak                      |
|                                  |                                       | Emerald          |            | Cooked Mutton              |
|                                  |                                       | Emerald          |            | Cooked Rabbit              |
| minecraft:butcher                | leather                               |                  |            |                            |
|                                  |                                       | Leather          |            | Emerald                    |
|                                  |                                       | Rabbit Hide      |            | Emerald                    |
|                                  |                                       | Emerald          |            | Leather Pants              |
|                                  |                                       | Emerald          |            | Leather Tunic              |
|                                  |                                       | Emerald          |            | Saddle                     |
| minecraft:smith                  | armor                                 |                  |            |                            |
|                                  |                                       | Coal             |            | Emerald                    |
|                                  |                                       | Emerald          |            | Iron Helmet                |
|                                  |                                       | Iron Ingot       |            | Emerald                    |
|                                  |                                       | Emerald          |            | Iron Chestplate            |
|                                  |                                       | Diamond          |            | Emerald                    |
|                                  |                                       | Emerald          |            | Chain Boots                |
|                                  |                                       | Emerald          |            | Chain Leggings             |
|                                  |                                       | Emerald          |            | Chain Helmet               |
|                                  |                                       | Emerald          |            | Chain Chestplate           |
| minecraft:smith                  | weapon                                |                  |            |                            |
|                                  |                                       | Coal             |            | Emerald                    |
|                                  |                                       | Emerald          |            | Iron Axe                   |
|                                  |                                       | Iron Ingot       |            | Emerald                    |
|                                  |                                       | Emerald          |            | Iron Sword                 |
|                                  |                                       | Diamond          |            | Emerald                    |
|                                  |                                       | Emerald          |            | Diamond Sword              |
|                                  |                                       | Emerald          |            | Diamond Axe                |
| minecraft:smith                  | tool                                  |                  |            |                            |
|                                  |                                       | Coal             |            | Emerald                    |
|                                  |                                       | Emerald          |            | Iron Shovel                |
|                                  |                                       | Iron Ingot       |            | Emerald                    |
|                                  |                                       | Emerald          |            | Iron Pickaxe               |
|                                  |                                       | Diamond          |            | Emerald                    |
|                                  |                                       | Emerald          |            | Diamond Pickaxe            |
|                                  |                                       | Emerald          |            | Diamond Shovel             |
| minecraft:smith                  | alloyer                               |                  |            |                            |
|                                  |                                       | Coal             |            | Emerald                    |
|                                  |                                       | Emerald          |            | Coal Coke                  |
|                                  |                                       | Copper Ingot     |            | Emerald                    |
|                                  |                                       | Tin Ingot        |            | Emerald                    |
|                                  |                                       | Zinc Ingot       |            | Emerald                    |
|                                  |                                       | Nickel Ingot     |            | Emerald                    |
|                                  |                                       | Emerald          |            | Brass Ingot                |
|                                  |                                       | Emerald          |            | Bronze Ingot               |
|                                  |                                       | Emerald          |            | Invar Ingot                |
|                                  |                                       | Emerald          |            | Bronze Gear                |
|                                  |                                       | Emerald          |            | Brass Gear                 |
|                                  |                                       | Emerald          |            | Invar Gear                 |
| minecraft:smith                  | steel_forger                          |                  |            |                            |
|                                  |                                       | Charcoal         |            | Emerald                    |
|                                  |                                       | Coal Coke        |            | Emerald                    |
|                                  |                                       | Iron Ingot       |            | Emerald                    |
|                                  |                                       | Emerald          | Iron Ingot | Steel Ingot                |
|                                  |                                       | Emerald          |            | Steel Ingot                |
|                                  |                                       | Emerald          |            | Ground Blast Furnace Slag  |
|                                  |                                       | Emerald          |            | Steel Gear                 |
| vtt:brewer                       | brewer                                |                  |            |                            |
|                                  |                                       | Sugar            |            | Emerald                    |
|                                  |                                       | Mushroom         |            | Emerald                    |
|                                  |                                       | Carrot           | Emerald    | Golden Carrot              |
|                                  |                                       | Melon Slice      | Emerald    | Glistering Melon           |
|                                  |                                       | Emerald          |            | Pufferfish                 |
|                                  |                                       | Emerald          |            | Rabbit's Foot              |
|                                  |                                       | Gunpowder        |            | Emerald                    |
|                                  |                                       | Spider Eye       |            | Emerald                    |
|                                  |                                       | Emerald          |            | Magma Cream                |
|                                  |                                       | Emerald          |            | Ghast Tear                 |
|                                  |                                       | Emerald          |            | Fermented Spider Eye       |
|                                  |                                       | Emerald          |            | Potion of Leaping          |
|                                  |                                       | Emerald          |            | Arrow of Night Vision      |
| primitivemobs:sheepman_thief     | primitivemobs.sheepman_thief          |                  |            |                            |
|                                  |                                       | Gold Ingot       |            | Glowstone Dust             |
|                                  |                                       | Gold Ingot       |            | Blaze Powder               |
|                                  |                                       | Gold Ingot       |            | Magma Cream                |
|                                  |                                       | Gold Ingot       |            | Blaze Rod                  |
|                                  |                                       | Gold Ingot       |            | Ghast Tear                 |
| minecraft:priest                 | cleric                                |                  |            |                            |
|                                  |                                       | Rotten Flesh     |            | Emerald                    |
|                                  |                                       | Gold Ingot       |            | Emerald                    |
|                                  |                                       | Emerald          |            | Redstone                   |
|                                  |                                       | Emerald          |            | Lapis Lazuli               |
|                                  |                                       | Emerald          |            | Ender Pearl                |
|                                  |                                       | Emerald          |            | Glowstone                  |
|                                  |                                       | Emerald          |            | Bottle o' Enchanting       |
| minecraft:priest                 | necromancer                           |                  |            |                            |
|                                  |                                       | Skeleton Skull   | Emerald    | Spawn Skeleton             |
|                                  |                                       | Zombie Head      | Emerald    | Spawn Zombie               |
|                                  |                                       | Creeper Head     | Emerald    | Spawn Creeper              |
| minecraft:nitwit                 | nitwit                                |                  |            |                            |
|                                  |                                       | Poisonous Potato |            | Emerald                    |
| primitivemobs:miner              | primitivemobs.ore_miner               |                  |            |                            |
|                                  |                                       | Emerald          |            | Coal                       |
|                                  |                                       | Emerald          |            | Iron Ore                   |
|                                  |                                       | Emerald          |            | Gold Ore                   |
|                                  |                                       | Emerald          |            | Obsidian                   |
| primitivemobs:miner              | primitivemobs.stone_miner             |                  |            |                            |
|                                  |                                       | Emerald          |            | Cobblestone                |
|                                  |                                       | Emerald          |            | Granite                    |
|                                  |                                       | Emerald          |            | Diorite                    |
|                                  |                                       | Emerald          |            | Andesite                   |
|                                  |                                       | Emerald          |            | Stone                      |
|                                  |                                       | Emerald          |            | Obsidian                   |
| primitivemobs:miner              | primitivemobs.gem_miner               |                  |            |                            |
|                                  |                                       | Emerald          |            | Lapis Lazuli               |
|                                  |                                       | Emerald          |            | Redstone                   |
|                                  |                                       | Emerald          |            | Nether Quartz              |
|                                  |                                       | Emerald          |            | Diamond                    |
| minecraft:farmer                 | farmer                                |                  |            |                            |
|                                  |                                       | Wheat            |            | Emerald                    |
|                                  |                                       | Potato           |            | Emerald                    |
|                                  |                                       | Carrot           |            | Emerald                    |
|                                  |                                       | Beetroot         |            | Emerald                    |
|                                  |                                       | Emerald          |            | Bread                      |
|                                  |                                       | Pumpkin          |            | Emerald                    |
|                                  |                                       | Emerald          |            | Pumpkin Pie                |
|                                  |                                       | Melon            |            | Emerald                    |
|                                  |                                       | Emerald          |            | Apple                      |
|                                  |                                       | Emerald          |            | Cookie                     |
|                                  |                                       | Emerald          |            | Cake                       |
| minecraft:farmer                 | fisherman                             |                  |            |                            |
|                                  |                                       | String           |            | Emerald                    |
|                                  |                                       | Coal             |            | Emerald                    |
|                                  |                                       | Raw Fish         | Emerald    | Cooked Fish                |
|                                  |                                       | Emerald          |            | Wooden Fishing Rod         |
|                                  |                                       | Emerald          |            | Wooden Fishing Rod         |
|                                  |                                       | Emerald          |            | Wooden Fishing Rod         |
| minecraft:farmer                 | shepherd                              |                  |            |                            |
|                                  |                                       | White Wool       |            | Emerald                    |
|                                  |                                       | Emerald          |            | Shears                     |
|                                  |                                       | Emerald          |            | White Wool                 |
|                                  |                                       | Emerald          |            | Orange Wool                |
|                                  |                                       | Emerald          |            | Magenta Wool               |
|                                  |                                       | Emerald          |            | Light Blue Wool            |
|                                  |                                       | Emerald          |            | Yellow Wool                |
|                                  |                                       | Emerald          |            | Lime Wool                  |
|                                  |                                       | Emerald          |            | Pink Wool                  |
|                                  |                                       | Emerald          |            | Gray Wool                  |
|                                  |                                       | Emerald          |            | Light Gray Wool            |
|                                  |                                       | Emerald          |            | Cyan Wool                  |
|                                  |                                       | Emerald          |            | Purple Wool                |
|                                  |                                       | Emerald          |            | Blue Wool                  |
|                                  |                                       | Emerald          |            | Brown Wool                 |
|                                  |                                       | Emerald          |            | Green Wool                 |
|                                  |                                       | Emerald          |            | Red Wool                   |
|                                  |                                       | Emerald          |            | Black Wool                 |
|                                  |                                       | Emerald          |            | Shears                     |
| minecraft:farmer                 | fletcher                              |                  |            |                            |
|                                  |                                       | String           |            | Emerald                    |
|                                  |                                       | Feather          |            | Emerald                    |
|                                  |                                       | Flint            |            | Emerald                    |
|                                  |                                       | Emerald          |            | Arrow                      |
|                                  |                                       | Emerald          |            | Bow                        |
|                                  |                                       | Gravel           | Emerald    | Flint                      |
|                                  |                                       | Emerald          |            | Bow                        |
| railcraft:trackman               | trackman                              |                  |            |                            |
|                                  |                                       | Coal             |            | Emerald                    |
|                                  |                                       | Coal Coke        |            | Emerald                    |
|                                  |                                       | Emerald          |            | Track                      |
|                                  |                                       | Emerald          |            | Dumping Track Kit          |
|                                  |                                       | Emerald          |            | Locking Track Kit          |
|                                  |                                       | Emerald          |            | Priming Track Kit          |
|                                  |                                       | Emerald          |            | Steel Crowbar              |
|                                  |                                       | Emerald          |            | Trackman's Goggles         |
|                                  |                                       | Emerald          |            | Engineer's Overalls        |
| railcraft:trackman               | cartman                               |                  |            |                            |
|                                  |                                       | Coal             |            | Emerald                    |
|                                  |                                       | Coal Coke        |            | Emerald                    |
|                                  |                                       | Emerald          |            | Work Cart                  |
|                                  |                                       | Emerald          |            | Jukebox Cart               |
|                                  |                                       | Emerald          |            | Tank Cart                  |
|                                  |                                       | Emerald          |            | Personal Worldspike Cart   |
|                                  |                                       | Emerald          |            | Steam Locomotive           |
| primitivemobs:sheepman_alchemist | primitivemobs.sheepman_alchemist      |                  |            |                            |
|                                  |                                       | Gold Ingot       |            | Nether Wart                |
|                                  |                                       | Gold Ingot       |            | Glass Bottle               |
|                                  |                                       | Gold Ingot       |            | Awkward Potion             |
|                                  |                                       | Gold Ingot       |            | Potion of Regeneration     |
|                                  |                                       | Gold Ingot       |            | Potion of Fire Resistance  |
|                                  |                                       | Gold Ingot       |            | Potion of Healing          |
|                                  |                                       | Gold Ingot       |            | Potion of Fire Resistance  |
+----------------------------------+---------------------------------------+------------------+------------+----------------------------+
| Registry name                    | Career                                | Buy 1            | Buy 2      | Sell                       |
+----------------------------------+---------------------------------------+------------------+------------+----------------------------+
