Blocks:
<block:agricraft:crop>, tile.agricraft:crop.name
<block:agricraft:grate>, tile.agricraft:grate.name
<block:agricraft:peripheral>, Computer Controlled Seed Analyzer
<block:agricraft:seed_analyzer>, Seed Analyzer
<block:agricraft:sprinkler>, Sprinkler
<block:agricraft:water_channel_full>, tile.agricraft:water_channel_full.name
<block:agricraft:water_channel_normal>, tile.agricraft:water_channel_normal.name
<block:agricraft:water_channel_valve>, tile.agricraft:water_channel_valve.name
<block:agricraft:water_pad>, Water Pad
<block:agricraft:water_tank>, tile.agricraft:water_tank.name
<block:am:metal_block>, Metal Block
<block:am:metal_ore>, Metal Ore
<block:am:meteorite>, Meteorite
<block:aroma1997sdimension:miningore>, tile.aroma1997sdimension:miningOre.name
<block:aroma1997sdimension:miningportal>, tile.null.name
<block:aroma1997sdimension:portalframe>, Portal Frame
<block:atum:alabaster>, Alabaster
<block:atum:alabaster_brick_carved>, Carved Alabaster Brick
<block:atum:alabaster_brick_pillar>, Pillar Alabaster Brick
<block:atum:alabaster_brick_polished>, Polished Alabaster Brick
<block:atum:alabaster_brick_smooth>, Smooth Alabaster
<block:atum:alabaster_brick_tiled>, Tiled Alabaster Brick
<block:atum:alabaster_carved_slab>, Carved Alabaster Slab
<block:atum:alabaster_carved_stairs>, Carved Alabaster Stairs
<block:atum:alabaster_carved_wall>, Carved Alabaster Wall
<block:atum:alabaster_pillar_slab>, Pillar Alabaster Slab
<block:atum:alabaster_pillar_stairs>, Pillar Alabaster Stairs
<block:atum:alabaster_pillar_wall>, Pillar Alabaster Wall
<block:atum:alabaster_polished_slab>, Polished Alabaster Slab
<block:atum:alabaster_polished_stairs>, Polished Alabaster Stairs
<block:atum:alabaster_polished_wall>, Polished Alabaster Wall
<block:atum:alabaster_smooth_slab>, Smooth Alabaster Slab
<block:atum:alabaster_smooth_stairs>, Smooth Alabaster Stairs
<block:atum:alabaster_smooth_wall>, Smooth Alabaster Wall
<block:atum:alabaster_tiled_slab>, Tiled Alabaster Slab
<block:atum:alabaster_tiled_stairs>, Tiled Alabaster Stairs
<block:atum:alabaster_tiled_wall>, Tiled Alabaster Wall
<block:atum:anputs_fingers>, Anput's Fingers
<block:atum:arrow_trap>, Arrow Trap
<block:atum:bone_ladder>, Bone Ladder
<block:atum:bone_ore>, Bone Ore
<block:atum:bone_torch>, Bone Torch
<block:atum:bone_torch_unlit>, Unlit Bone Torch
<block:atum:burning_trap>, Burning Trap
<block:atum:carved_stairs>, Limestone Carved Brick Stairs
<block:atum:carved_wall>, Limestone Carved Brick Wall
<block:atum:ceramic_black>, Black Ceramic Tile Block
<block:atum:ceramic_blue>, Blue Ceramic Tile Block
<block:atum:ceramic_brown>, Brown Ceramic Tile Block
<block:atum:ceramic_cyan>, Cyan Ceramic Tile Block
<block:atum:ceramic_gray>, Gray Ceramic Tile Block
<block:atum:ceramic_green>, Green Ceramic Tile Block
<block:atum:ceramic_light_blue>, Light Blue Ceramic Tile Block
<block:atum:ceramic_lime>, Lime Ceramic Tile Block
<block:atum:ceramic_magenta>, Magenta Ceramic Tile Block
<block:atum:ceramic_orange>, Orange Ceramic Tile Block
<block:atum:ceramic_pink>, Pink Ceramic Tile Block
<block:atum:ceramic_purple>, Purple Ceramic Tile Block
<block:atum:ceramic_red>, Red Ceramic Tile Block
<block:atum:ceramic_silver>, Silver Ceramic Tile Block
<block:atum:ceramic_slab_black>, Black Ceramic Tile Slab
<block:atum:ceramic_slab_blue>, Blue Ceramic Tile Slab
<block:atum:ceramic_slab_brown>, Brown Ceramic Tile Slab
<block:atum:ceramic_slab_cyan>, Cyan Ceramic Tile Slab
<block:atum:ceramic_slab_gray>, Gray Ceramic Tile Slab
<block:atum:ceramic_slab_green>, Green Ceramic Tile Slab
<block:atum:ceramic_slab_light_blue>, Light Blue Ceramic Tile Slab
<block:atum:ceramic_slab_lime>, Lime Ceramic Tile Slab
<block:atum:ceramic_slab_magenta>, Magenta Ceramic Tile Slab
<block:atum:ceramic_slab_orange>, Orange Ceramic Tile Slab
<block:atum:ceramic_slab_pink>, Pink Ceramic Tile Slab
<block:atum:ceramic_slab_purple>, Purple Ceramic Tile Slab
<block:atum:ceramic_slab_red>, Red Ceramic Tile Slab
<block:atum:ceramic_slab_silver>, Silver Ceramic Tile Slab
<block:atum:ceramic_slab_white>, White Ceramic Tile Slab
<block:atum:ceramic_slab_yellow>, Yellow Ceramic Tile Slab
<block:atum:ceramic_stairs_black>, Black Ceramic Tile Stairs
<block:atum:ceramic_stairs_blue>, Blue Ceramic Tile Stairs
<block:atum:ceramic_stairs_brown>, Brown Ceramic Tile Stairs
<block:atum:ceramic_stairs_cyan>, Cyan Ceramic Tile Stairs
<block:atum:ceramic_stairs_gray>, Gray Ceramic Tile Stairs
<block:atum:ceramic_stairs_green>, Green Ceramic Tile Stairs
<block:atum:ceramic_stairs_light_blue>, Light Blue Ceramic Tile Stairs
<block:atum:ceramic_stairs_lime>, Lime Ceramic Tile Stairs
<block:atum:ceramic_stairs_magenta>, Magenta Ceramic Tile Stairs
<block:atum:ceramic_stairs_orange>, Orange Ceramic Tile Stairs
