[00:01:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-170, y=65, z=133}
[00:01:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME6] Village struct frame is missing or wrong type | BlockPos{x=-164, y=65, z=131}
[00:01:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-171, y=64, z=134}]
[00:01:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME6 [BlockPos{x=-163, y=64, z=130}]
[00:01:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-171, y=64, z=134}]
[00:01:26] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME6 [BlockPos{x=-163, y=64, z=130}]
[00:01:28] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-164, y=65, z=133}
[00:01:28] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-174, y=65, z=131}
[00:01:29] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-165, y=64, z=134}]
[00:01:29] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-173, y=64, z=130}]
[00:01:29] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-173, y=64, z=130}]
[00:01:29] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-165, y=64, z=134}]
[00:02:09] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-170, y=65, z=133}
[00:02:09] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-171, y=64, z=134}]
[00:02:09] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-171, y=64, z=134}]
[00:02:13] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME6] Village struct frame is missing or wrong type | BlockPos{x=-164, y=65, z=131}
[00:02:14] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-164, y=65, z=133}
[00:02:14] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-174, y=65, z=131}
[00:02:16] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-165, y=64, z=134}]
[00:02:16] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-173, y=64, z=130}]
[00:02:16] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME6 [BlockPos{x=-163, y=64, z=130}]
[00:02:16] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-173, y=64, z=130}]
[00:02:16] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME6 [BlockPos{x=-163, y=64, z=130}]
[00:02:16] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-165, y=64, z=134}]
[00:02:54] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-170, y=65, z=133}
[00:02:54] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-171, y=64, z=134}]
[00:02:54] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-171, y=64, z=134}]
[00:02:56] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-174, y=65, z=131}
[00:02:57] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Removing structure HOME2 [BlockPos{x=-173, y=64, z=130}]
[00:02:57] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] Adding structure HOME2 [BlockPos{x=-173, y=64, z=130}]
[00:02:57] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME2] Village struct frame is missing or wrong type | BlockPos{x=-164, y=65, z=133}
[00:02:58] [Server thread/INFO] [STDOUT]: [net.tangotek.tektopia.Village:debugOut:133]: [HMP] [HOME6] Village struct frame is missing or wrong type | BlockPos{x=-164, y=65, z=131}
